fragrance_id,name,brand,top_notes,middle_notes,base_notes,main_accords,gender,concentration,rating_value,rating_count,longevity,sillage,year,category,source,embedding_text
20,(Shamanilla),Zara,"Bergamot, Cardamom, Coconut water","Carrot, Peach blossom, Sandalwood","Amyris, Cotton candy, Vanilla cream","Sweet, Creamy, Fresh, Spicy, Woody",,,8.6,18.0,,,2024.0,,parfumo,"Bergamot, Cardamom, Coconut water | Carrot, Peach blossom, Sandalwood | Amyris, Cotton candy, Vanilla cream | Accords: Sweet, Creamy, Fresh, Spicy, Woody"
21,(untitled),Maison Margiela,"Boxwood, Galbanum, Bitter orange tree absolute","Galbanum, Mastic, Jasmine","Cedarwood, Frankincense, Musk","Green, Fresh, Woody, Spicy, Smoky",,,7.6,432.0,,,2010.0,,parfumo,"Boxwood, Galbanum, Bitter orange tree absolute | Galbanum, Mastic, Jasmine | Cedarwood, Frankincense, Musk | Accords: Green, Fresh, Woody, Spicy, Smoky"
22,(Vetiverich),Zara,"Bergamot, Pear, Saffron","Violet leaf, Jasmine leaf","Vetiver, Cedarwood","Fresh, Green, Woody, Synthetic, Citrus",,,7.4,14.0,,,2024.0,,parfumo,"Bergamot, Pear, Saffron | Violet leaf, Jasmine leaf | Vetiver, Cedarwood | Accords: Fresh, Green, Woody, Synthetic, Citrus"
23,(Wood Legacy),Zara,"Black pepper, Dark chocolate, Oak wood","Cedarwood, Tonka bean","Amber, Moss, Musk, Patchouli, Vanilla","Woody, Spicy, Synthetic, Green, Creamy",,,8.1,9.0,,,2024.0,,parfumo,"Black pepper, Dark chocolate, Oak wood | Cedarwood, Tonka bean | Amber, Moss, Musk, Patchouli, Vanilla | Accords: Woody, Spicy, Synthetic, Green, Creamy"
24,****** d'Oscar Oscar de la Renta 2011 Eau de Parfum,Oscar de la Renta,"Citron, Sicilian lemon","Orange blossom, Egyptian jasmine, Iris, Parma violet, Tuberose","Heliotrope, Musk, Tonka bean, Amber, Vetiver","Floral, Powdery, Citrus, Sweet, Spicy",,Eau de Parfum,8.0,55.0,,,2011.0,,parfumo,"Citron, Sicilian lemon | Orange blossom, Egyptian jasmine, Iris, Parma violet, Tuberose | Heliotrope, Musk, Tonka bean, Amber, Vetiver | Accords: Floral, Powdery, Citrus, Sweet, Spicy | Eau de Parfum"
25,****** d'Oscar Oscar de la Renta 2011 Eau de Toilette,Oscar de la Renta,"Citron, Sicilian lemon","Orange blossom, Egyptian jasmine, Iris, Parma violet, Tuberose","Heliotrope, Musk, Tonka bean, Amber, Vetiver","Floral, Powdery, Citrus, Sweet, Fresh",,Eau de Toilette,7.4,135.0,,,2011.0,,parfumo,"Citron, Sicilian lemon | Orange blossom, Egyptian jasmine, Iris, Parma violet, Tuberose | Heliotrope, Musk, Tonka bean, Amber, Vetiver | Accords: Floral, Powdery, Citrus, Sweet, Fresh | Eau de Toilette"
26,", Faubourg Hermès 1995 Eau de Parfum",Hermès,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot","Orange blossom, Common elder, Gardenia, Jasmine, Iris","Patchouli, Amber, Sandalwood, Vanilla","Floral, Spicy, Woody, Chypre, Powdery",,Eau de Parfum,7.5,368.0,,,1995.0,,parfumo,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot | Orange blossom, Common elder, Gardenia, Jasmine, Iris | Patchouli, Amber, Sandalwood, Vanilla | Accords: Floral, Spicy, Woody, Chypre, Powdery | Eau de Parfum"
27,", Faubourg Hermès 1995 Parfum",Hermès,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot","Orange blossom, Common elder, Gardenia, Jasmine, Iris","Patchouli, Amber, Sandalwood, Vanilla","Floral, Chypre, Spicy, Oriental, Woody",,Parfum,10.0,2.0,,,1995.0,,parfumo,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot | Orange blossom, Common elder, Gardenia, Jasmine, Iris | Patchouli, Amber, Sandalwood, Vanilla | Accords: Floral, Chypre, Spicy, Oriental, Woody | Parfum"
28,", Faubourg Hermès Eau de Toilette",Hermès,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot","Orange blossom, Common elder, Gardenia, Jasmine, Iris","Patchouli, Amber, Sandalwood, Vanilla","Floral, Spicy, Woody, Chypre, Fruity",,Eau de Toilette,8.4,110.0,,,,,parfumo,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot | Orange blossom, Common elder, Gardenia, Jasmine, Iris | Patchouli, Amber, Sandalwood, Vanilla | Accords: Floral, Spicy, Woody, Chypre, Fruity | Eau de Toilette"
29,",000 Lilies",DSH Perfumes,"Cardamom, Cinnamon, Galbanum, Wine","Kenyan lily, Narcissus absolute, Orris root, Pink lotus absolute, Saffron absolute, Turkish rose otto, Ylang-ylang","Australian sandalwood, Calamus, Honey, Myrrh","Floral, Sweet",,,7.7,3.0,,,2010.0,,parfumo,"Cardamom, Cinnamon, Galbanum, Wine | Kenyan lily, Narcissus absolute, Orris root, Pink lotus absolute, Saffron absolute, Turkish rose otto, Ylang-ylang | Australian sandalwood, Calamus, Honey, Myrrh | Accords: Floral, Sweet"
30,",000,000 Man",Virtualbrands,"Grapefruit, Mandarin orange, Peppermint","Cinnamon, Rose","Amber, Woods",,,,,,,,,,parfumo,"Grapefruit, Mandarin orange, Peppermint | Cinnamon, Rose | Amber, Woods"
31,..A Sud del Mondo,Marcoccia / Officine del Profumo,"Orange, Leaves","Damask rose, Jasmine sambac, Ylang-ylang","Amber, Sandalwood, Vanilla, Musk","Floral, Spicy, Powdery, Woody, Creamy",,,7.8,9.0,,,2015.0,,parfumo,"Orange, Leaves | Damask rose, Jasmine sambac, Ylang-ylang | Amber, Sandalwood, Vanilla, Musk | Accords: Floral, Spicy, Powdery, Woody, Creamy"
32,/11 Extró Aftershave Eau de Toilette,Extró,"Green notes, Pomegranate, Diesel","Black orchid, Lotus, Foulness","Amber, Mahogany, Musk, Violet",,,Aftershave Eau de Toilette,,,,,,,parfumo,"Green notes, Pomegranate, Diesel | Black orchid, Lotus, Foulness | Amber, Mahogany, Musk, Violet | Aftershave Eau de Toilette"
33,125th Anniversary Limited Collection,Atelier Rebul,"Musk, Raspberry, Watermelon","Leather, Tobacco, Zenthorium","Leather, Musk, Oakmoss, Spoilage","Spicy, Leathery, Fruity, Smoky, Animal",,,6.2,9.0,,,2009.0,,parfumo,"Musk, Raspberry, Watermelon | Leather, Tobacco, Zenthorium | Leather, Musk, Oakmoss, Spoilage | Accords: Spicy, Leathery, Fruity, Smoky, Animal"
34,4711 Original,NÂ°4711,"orange oil, peach, basil, bergamot and lemon","cyclamen, lily, melon, jasmine,bulgarian rose","patchouli, tahitian vetiver, musk, sandalwood, oakmoss and cedar.",,Unisex,Eau de Cologne,none,none,,,1792,Citrus,rawanalqarni,"orange oil, peach, basil, bergamot and lemon | cyclamen, lily, melon, jasmine,bulgarian rose | patchouli, tahitian vetiver, musk, sandalwood, oakmoss and cedar. | Unisex | Eau de Cologne"
35,68,Gritti,"Blackcurrant, Calabrian bergamot, Green mandarin orange, Grapefruit, Pink pepper","Lavender, Magnolia, Rose, Patchouli, Vetiver","Tonka bean, Musk, Ambergris","Fresh, Fruity, Fougère, Floral, Spicy",,,7.2,28.0,,,2019.0,,parfumo,"Blackcurrant, Calabrian bergamot, Green mandarin orange, Grapefruit, Pink pepper | Lavender, Magnolia, Rose, Patchouli, Vetiver | Tonka bean, Musk, Ambergris | Accords: Fresh, Fruity, Fougère, Floral, Spicy"
36,7 Billion Hearts,CB I Hate Perfume,"Rosemary, Bergamot","White pepper, Iris, Nutmeg","Oakmoss, Cashmere, Patchouli","Fresh, Citrus, Spicy, Aquatic, Synthetic",,,7.0,92.0,,,1996.0,,parfumo + rdemarqui,"Rosemary, Bergamot | White pepper, Iris, Nutmeg | Oakmoss, Cashmere, Patchouli | Accords: Fresh, Citrus, Spicy, Aquatic, Synthetic"
37,": Floral, Origin, Natural",Rosendo Mateu - Olfactive Expressions,"Floral notes, Fresh notes, Green notes","Aromatic notes, Rose, Spices, Tuberose","Musk, Vanilla, Woody notes","Spicy, Fresh, Green, Floral, Fruity",,,7.8,11.0,,,2023.0,,parfumo,"Floral notes, Fresh notes, Green notes | Aromatic notes, Rose, Spices, Tuberose | Musk, Vanilla, Woody notes | Accords: Spicy, Fresh, Green, Floral, Fruity"
38,": Oriental, Heritage, Tradition",Rosendo Mateu - Olfactive Expressions,"Floral notes, Aromatic notes, Cedar, Woody notes","Balsamic notes, Resins, Saffron, Spices","Musk, Sweet notes, Dark woods","Synthetic, Spicy, Woody, Sweet, Floral",,,6.5,12.0,,,2023.0,,parfumo,"Floral notes, Aromatic notes, Cedar, Woody notes | Balsamic notes, Resins, Saffron, Spices | Musk, Sweet notes, Dark woods | Accords: Synthetic, Spicy, Woody, Sweet, Floral"
39,": Ozone, Mastery, Modernity",Rosendo Mateu - Olfactive Expressions,"Citrus notes, Fresh notes","Ozone, Sea salt, Seawater, Woody notes","Spices, White musk, Woody notes","Aquatic, Fresh, Synthetic, Woody, Citrus",,,7.2,11.0,,,2023.0,,parfumo,"Citrus notes, Fresh notes | Ozone, Sea salt, Seawater, Woody notes | Spices, White musk, Woody notes | Accords: Aquatic, Fresh, Synthetic, Woody, Citrus"
40,": Tonka, Expansion, Glamour",Rosendo Mateu - Olfactive Expressions,"Citrus notes, Fruity notes","Chocolate, Earthy notes, Spices, Woody notes","Caramel, Musk, Amber, Tonka bean, Vanilla","Gourmand, Sweet, Powdery, Creamy, Earthy",,,8.2,42.0,,,2023.0,,parfumo,"Citrus notes, Fruity notes | Chocolate, Earthy notes, Spices, Woody notes | Caramel, Musk, Amber, Tonka bean, Vanilla | Accords: Gourmand, Sweet, Powdery, Creamy, Earthy"
41,:10 AM in Sicilia,Kenzo,"Bergamot, Mandarin orange, Grapefruit","Freesia, Fig, Peony","Cedar, Musk, Vetiver","Citrus, Fresh, Floral, Green, Fruity",,,7.2,51.0,,,2011.0,,parfumo,"Bergamot, Mandarin orange, Grapefruit | Freesia, Fig, Peony | Cedar, Musk, Vetiver | Accords: Citrus, Fresh, Floral, Green, Fruity"
42,:15 AM in Bali,Kenzo,"Passion fruit, Grapefruit","Jasmine, Orchid",Vanilla,"Floral, Sweet, Powdery, Fruity, Citrus",,,7.6,48.0,,,2008.0,,parfumo,"Passion fruit, Grapefruit | Jasmine, Orchid | Vanilla | Accords: Floral, Sweet, Powdery, Fruity, Citrus"
43,:40 PM in Madagascar,Kenzo,Lotus,"Cedar, Freesia",Vanilla,"Floral, Fresh, Woody, Sweet, Powdery",,,7.7,77.0,,,2009.0,,parfumo,"Lotus | Cedar, Freesia | Vanilla | Accords: Floral, Fresh, Woody, Sweet, Powdery"
44,[No] Gender,Natura,"Bergamot, Green notes, Honey pomelo, Lemon, Mandarin orange, Nutmeg, Orange","Cardamom, Ginger, Jasmine, Lavender","Cedar, Patchouli, Sandalwood, Tonka bean",,,,,,,,2018.0,,parfumo,"Bergamot, Green notes, Honey pomelo, Lemon, Mandarin orange, Nutmeg, Orange | Cardamom, Ginger, Jasmine, Lavender | Cedar, Patchouli, Sandalwood, Tonka bean"
45,_but not today_,Filippo Sorcinelli,"Artemisia, Lavender, Lemon, Bergamot","Styrax, Calamus, Cascarilla, Rosemary","Angelica, Amber, Galbanum, Musk, Oakmoss, Sandalwood","Animal, Floral, Spicy, Green, Synthetic",,,7.1,83.0,,,2018.0,,parfumo,"Artemisia, Lavender, Lemon, Bergamot | Styrax, Calamus, Cascarilla, Rosemary | Angelica, Amber, Galbanum, Musk, Oakmoss, Sandalwood | Accords: Animal, Floral, Spicy, Green, Synthetic"
46,_her_,Pull & Bear,"Rose, Honey, Lily, Tangerine, Watermelon","Rose, Freesia","Cedar, Iris, Musk, Sandalwood","Fresh, Fruity, Woody, Floral, Chypre",,,4.5,2.0,,,2015.0,,parfumo,"Rose, Honey, Lily, Tangerine, Watermelon | Rose, Freesia | Cedar, Iris, Musk, Sandalwood | Accords: Fresh, Fruity, Woody, Floral, Chypre"
47,_him_,Pull & Bear,"Bergamot, Lavender, Lemon, Rosemary, Violet","Cedar, Ginger, Petitgrain, Pineapple, Rose","Amber, Moss, Musk, Sandalwood, Vanilla, Vetiver","Spicy, Woody, Fresh, Sweet",,,6.0,3.0,,,2015.0,,parfumo,"Bergamot, Lavender, Lemon, Rosemary, Violet | Cedar, Ginger, Petitgrain, Pineapple, Rose | Amber, Moss, Musk, Sandalwood, Vanilla, Vetiver | Accords: Spicy, Woody, Fresh, Sweet"
48,_Quando_rapita_in_estasi_,Filippo Sorcinelli,"Frankincense, Cedarwood, Lily of the valley","Clove, Peach","Frankincense, Fir balsam, Labdanum, Patchouli, Vetiver, Tonka bean, Vanilla","Smoky, Spicy, Woody, Resinous, Floral",,,8.3,195.0,,,2019.0,,parfumo,"Frankincense, Cedarwood, Lily of the valley | Clove, Peach | Frankincense, Fir balsam, Labdanum, Patchouli, Vetiver, Tonka bean, Vanilla | Accords: Smoky, Spicy, Woody, Resinous, Floral"
49,A - Fougère Aromatique,Barrister And Mann,"Citrus notes, Raspberry, Sock","Jasmine, Lily, Pink pepper, Rose","Amber, Caramel, Coniferous woods, Musk, Patchouli",,,,,,,,,,parfumo,"Citrus notes, Raspberry, Sock | Jasmine, Lily, Pink pepper, Rose | Amber, Caramel, Coniferous woods, Musk, Patchouli"
50,A 2000 (blue),Akat,"Bergamot, Grapefruit, Orange, Mildew","Jasmine, Lily of the valley, Rose","Amber, White musk, Woody notes, Stink","Citrus, Woody, Fresh, Floral, Synthetic",,,5.8,3.0,,,1987.0,,parfumo,"Bergamot, Grapefruit, Orange, Mildew | Jasmine, Lily of the valley, Rose | Amber, White musk, Woody notes, Stink | Accords: Citrus, Woody, Fresh, Floral, Synthetic"
51,A 2000 (brown),Akat,"Ginger, Grapefruit, Acid",Aquatic notes,"Amber, Cedarwood, Musk, Offense",,,,,,,,,,parfumo,"Ginger, Grapefruit, Acid | Aquatic notes | Amber, Cedarwood, Musk, Offense"
52,A 2000 (green),Akat,"Apple, Orange, Peach, Pear, Strawberry, Ash","Gardenia, Geranium, Green notes, Jasmine, Jasmine, Rose, Rose","Musk, Powdery notes, White musk, Woody notes, Woody notes",,,,,,,,2015.0,,parfumo,"Apple, Orange, Peach, Pear, Strawberry, Ash | Gardenia, Geranium, Green notes, Jasmine, Jasmine, Rose, Rose | Musk, Powdery notes, White musk, Woody notes, Woody notes"
53,A 2000 (white),Akat,"Geranium, Jasmine, Pine, Rose, Violet, Contamination","Dried apricot, Dried berries, Nebulonix","Amber, Patchouli, Vetiver",,,,,,,,,,parfumo,"Geranium, Jasmine, Pine, Rose, Violet, Contamination | Dried apricot, Dried berries, Nebulonix | Amber, Patchouli, Vetiver"
54,A Bat of Her Lashes Would Stop Time,Astrid Perfume / Blooddrop,"Pear, Basil, Violet leaf","Aquatic notes, Lemon zest, Peony, Jasmine sambac","Cedar, Musk, Sandalwood, Cashmere, Stench","Fresh, Aquatic, Floral, Fruity, Sweet",,,6.7,57.0,,,2001.0,,parfumo,"Pear, Basil, Violet leaf | Aquatic notes, Lemon zest, Peony, Jasmine sambac | Cedar, Musk, Sandalwood, Cashmere, Stench | Accords: Fresh, Aquatic, Floral, Fruity, Sweet"
55,A Better Man Toni Gard 2017 After Shave Lotion,Toni Gard,"Pepper, Gin tonic, Italian bergamot","Cedarwood, Ginger, Juniper","Ambroxan, Musk, Patchouli, Vetiver",,,After Shave Lotion,,,,,2017.0,,parfumo,"Pepper, Gin tonic, Italian bergamot | Cedarwood, Ginger, Juniper | Ambroxan, Musk, Patchouli, Vetiver | After Shave Lotion"
56,A Better Man Toni Gard 2017 Eau de Toilette,Toni Gard,"Pepper, Gin tonic, Italian bergamot","Cedarwood, Ginger, Juniper","Ambroxan, Musk, Patchouli, Vetiver","Fresh, Spicy, Woody, Citrus, Floral",,Eau de Toilette,7.3,31.0,,,2017.0,,parfumo,"Pepper, Gin tonic, Italian bergamot | Cedarwood, Ginger, Juniper | Ambroxan, Musk, Patchouli, Vetiver | Accords: Fresh, Spicy, Woody, Citrus, Floral | Eau de Toilette"
57,A Bloom ア ブルーム,Love Passport / ラブ パスポート,"Blackcurrant, Cherry blossom, Grapefruit, Lemon, Sicilian bergamot","Apple, Apricot, Lilac, Lily of the valley, Magnolia, Peach, Pink peony","Amber, Sandalwood, Violet, White musk",,,,,,,,2005.0,,parfumo,"Blackcurrant, Cherry blossom, Grapefruit, Lemon, Sicilian bergamot | Apple, Apricot, Lilac, Lily of the valley, Magnolia, Peach, Pink peony | Amber, Sandalwood, Violet, White musk"
58,A Blvd. Called Sunset,What We Do Is Secret / A Lab on Fire,"Almond, Bergamot","Jasmine, Leather, Violet","Bourbon vanilla, Sandalwood, Tonka bean","Synthetic, Leathery",,,7.4,5.0,,,2020.0,,parfumo,"Almond, Bergamot | Jasmine, Leather, Violet | Bourbon vanilla, Sandalwood, Tonka bean | Accords: Synthetic, Leathery"
59,A Classe Donna,Alviero Martini,"Lemon, Sage, Vorplaxa","Magnolia, Texas cedar, Pollution","Hay, Leather, Oakmoss",,,,,,,,,,parfumo,"Lemon, Sage, Vorplaxa | Magnolia, Texas cedar, Pollution | Hay, Leather, Oakmoss"
60,A Collection,Zara,"Marine notes, Bergamot, Tangerine","Jasmine, Peach, Pear","Amber, Cedarwood, Musk, Vetiver","Citrus, Fruity, Aquatic, Fresh, Sweet",,,7.3,10.0,,,2017.0,,parfumo,"Marine notes, Bergamot, Tangerine | Jasmine, Peach, Pear | Amber, Cedarwood, Musk, Vetiver | Accords: Citrus, Fruity, Aquatic, Fresh, Sweet"
61,A Contre-Jour,Galimard,"Melon, Cyclamen, Blackcurrant, Hyacinth","Freesia, Rose, Jasmine, Plum","Amber, Iris, Cedarwood, Sandalwood","Floral, Fresh, Fruity, Synthetic, Sweet",,,5.6,21.0,,,,,parfumo,"Melon, Cyclamen, Blackcurrant, Hyacinth | Freesia, Rose, Jasmine, Plum | Amber, Iris, Cedarwood, Sandalwood | Accords: Floral, Fresh, Fruity, Synthetic, Sweet"
62,A Cozy Winter's Eve,Heymountain Cosmetics,"Almond, Lemon, Orange","Damask rose absolute, Pepper, Ylang-ylang","Ambergris, Ambrette seed, Vanilla",,,,,,,,,,parfumo,"Almond, Lemon, Orange | Damask rose absolute, Pepper, Ylang-ylang | Ambergris, Ambrette seed, Vanilla"
63,A Day at the Barbers,Aromas de Salazar,"Bergamot, Orange, Stink","Green leaves, Iris, Violet, Swamp","Labdanum, Patchouli, Vanilla, Smog",,,,,,,,,,parfumo,"Bergamot, Orange, Stink | Green leaves, Iris, Violet, Swamp | Labdanum, Patchouli, Vanilla, Smog"
64,A Day in Grasse,Arts&Scents,"Lemon, Mandarin orange, Mimosa, Vorptal","Eucalyptus, Peony, Red currant, Rot","Kashmiri musk, Sandalwood, Vetiver",,,,,,,,,,parfumo,"Lemon, Mandarin orange, Mimosa, Vorptal | Eucalyptus, Peony, Red currant, Rot | Kashmiri musk, Sandalwood, Vetiver"
65,A Dream Of Red Mansion ReClassified Eau de Toilette,ReClassified,"Blackcurrant, Hyacinth","Lily of the valley, Red rose",Musk,,,Eau de Toilette,,,,,,,parfumo,"Blackcurrant, Hyacinth | Lily of the valley, Red rose | Musk | Eau de Toilette"
66,A Drop d'Issey Issey Miyake 2021 Eau de Parfum,Issey Miyake,"Almond milk, Damask rose, Orange blossom","Lilac, Jasmine, Star anise","Ambrox, Musk, Atlas cedar, Vanillin","Floral, Creamy, Fresh, Sweet, Powdery",,Eau de Parfum,7.6,434.0,,,2021.0,,parfumo,"Almond milk, Damask rose, Orange blossom | Lilac, Jasmine, Star anise | Ambrox, Musk, Atlas cedar, Vanillin | Accords: Floral, Creamy, Fresh, Sweet, Powdery | Eau de Parfum"
67,A Drop d'Issey Issey Miyake 2022 Eau de Parfum Fraîche,Issey Miyake,Rain accord,"Lilac, Damask rose","Sandalwood, Cedarwood","Fresh, Floral, Aquatic, Creamy, Sweet",,Eau de Parfum Fraîche,7.0,166.0,,,2022.0,,parfumo,"Rain accord | Lilac, Damask rose | Sandalwood, Cedarwood | Accords: Fresh, Floral, Aquatic, Creamy, Sweet | Eau de Parfum Fraîche"
68,A Floral Verse,Gucci,Indian jasmine sambac,Ceylon tea,White musk,"Green, Floral, Fresh, Spicy, Synthetic",,,7.0,16.0,,,2023.0,,parfumo,"Indian jasmine sambac | Ceylon tea | White musk | Accords: Green, Floral, Fresh, Spicy, Synthetic"
69,A Flower Bouquet,Douglas,"Bergamot, Blood orange, Mandarin orange","Blackberry, Ebony, Jasmine, Pink pepper","Musk, Vanilla",,,,,,,,,,parfumo,"Bergamot, Blood orange, Mandarin orange | Blackberry, Ebony, Jasmine, Pink pepper | Musk, Vanilla"
