Name,Formality,Season,Gender,Time_of_Day,Frequency,Longevity,Notes
Desert Shadow No.35,0.48,Summer,Any,Day,Often,Short,"Lemon, Lavender | Rose, Cardamom | Leather, Oakmoss, Patchouli | Accords: Spicy, Citrus, Smoky"
Velvet Rose No.36,0.25,Spring,Any,Night,Often,Long,"Lemon, Blackcurrant | Violet, Nutmeg | Oakmoss, Vanilla, Leather | Accords: Powdery, Spicy, Fruity"
Velvet Orchid No.37,0.73,Spring,Female,Night,Occasionally,Short,"Lavender, Lemon | Orchid, Cinnamon | Vetiver, Cedarwood, Leather | Accords: Spicy, Citrus, Fresh"
Phantom Dream No.38,0.25,Spring,Male,Night,Often,Short,"Pink Pepper, Blackcurrant | Geranium, Lily of the Valley | Cedarwood, Vetiver, Incense | Accords: Woody, Smoky, Aquatic"
Royal Shadow No.39,0.84,Fall,Any,Day,Occasionally,Short,"Sea Salt, Peach | Nutmeg, Cinnamon | Incense, Patchouli, Leather | Accords: Powdery, Citrus, Fresh"
Phantom Dream No.40,0.97,Winter,Male,Day,Occasionally,Long,"Bergamot, Peach | Orchid, Lily of the Valley | Patchouli, Oud, Leather | Accords: Green, Gourmand, Spicy"
Midnight Soul No.41,0.09,Summer,Any,Night,Occasionally,Short,"Lavender, Peach | Cinnamon, Jasmine | Oakmoss, Vanilla, Incense | Accords: Citrus, Floral, Fruity"
Azure Dream No.42,0.77,Spring,Male,Night,Often,Short,"Peach, Bergamot | Lily of the Valley, Nutmeg | Patchouli, Tonka Bean, Sandalwood | Accords: Earthy, Spicy, Green"
Solar Wood No.43,0.12,Spring,Female,Night,Often,Short,"Grapefruit, Sea Salt | Jasmine, Nutmeg | Patchouli, Cedarwood, Oakmoss | Accords: Powdery, Floral, Earthy"
Crystal Musk No.44,0.58,Spring,Male,Day,Often,Short,"Grapefruit, Apple | Orchid, Clary Sage | Oakmoss, Cedarwood, Leather | Accords: Smoky, Citrus, Woody"
Golden Fire No.45,0.44,Fall,Male,Day,Often,Long,"Pink Pepper, Sea Salt | Iris, Nutmeg | Oakmoss, Patchouli, Cedarwood | Accords: Aquatic, Green, Floral"
Crimson Orchid No.46,0.03,Spring,Female,Day,Occasionally,Short,"Lavender, Bergamot | Cinnamon, Iris | Patchouli, Leather, Musk | Accords: Woody, Spicy, Aquatic"
Midnight Spice No.47,0.48,Winter,Female,Night,Occasionally,Long,"Lemon, Mint | Cardamom, Nutmeg | Patchouli, Tonka Bean, Incense | Accords: Green, Smoky, Woody"
Crystal Storm No.48,0.98,Summer,Female,Night,Occasionally,Short,"Peach, Mint | Violet, Lily of the Valley | Tonka Bean, Vetiver, Oakmoss | Accords: Gourmand, Earthy, Citrus"
Astral Breeze No.49,0.1,Fall,Female,Day,Occasionally,Long,"Mint, Lemon | Cinnamon, Nutmeg | Leather, Tonka Bean, Patchouli | Accords: Green, Fruity, Earthy"
Crystal Elixir No.50,0.53,Fall,Any,Day,Often,Long,"Peach, Grapefruit | Lily of the Valley, Freesia | Incense, Tonka Bean, Oud | Accords: Gourmand, Smoky, Powdery"
Golden Petal No.51,0.94,Spring,Any,Night,Occasionally,Long,"Mandarin, Pineapple | Violet, Cinnamon | Patchouli, Musk, Incense | Accords: Smoky, Floral, Citrus"
Royal Storm No.52,0.03,Summer,Any,Day,Often,Short,"Pink Pepper, Mint | Cinnamon, Geranium | Oud, Oakmoss, Tonka Bean | Accords: Fresh, Aquatic, Citrus"
Ocean Orchid No.53,0.82,Winter,Female,Night,Often,Short,"Peach, Mint | Freesia, Cinnamon | Vanilla, Oud, Musk | Accords: Gourmand, Powdery, Smoky"
Midnight Dream No.54,0.68,Fall,Male,Night,Occasionally,Long,"Mint, Apple | Clary Sage, Geranium | Leather, Patchouli, Tonka Bean | Accords: Fruity, Earthy, Gourmand"
Secret Elixir No.55,0.65,Fall,Male,Day,Often,Long,"Blackcurrant, Bergamot | Rose, Violet | Oud, Leather, Vanilla | Accords: Powdery, Citrus, Spicy"
Crimson Spice No.56,0.95,Spring,Any,Night,Often,Short,"Blackcurrant, Peach | Rose, Nutmeg | Patchouli, Oakmoss, Sandalwood | Accords: Smoky, Fruity, Woody"
Azure Storm No.57,0.11,Winter,Male,Day,Often,Long,"Mint, Mandarin | Iris, Freesia | Patchouli, Leather, Oud | Accords: Woody, Earthy, Citrus"
Crimson Wood No.58,0.09,Spring,Female,Night,Occasionally,Short,"Lemon, Mandarin | Orchid, Iris | Vanilla, Cedarwood, Leather | Accords: Aquatic, Fruity, Woody"
Astral Shadow No.59,0.02,Spring,Any,Night,Often,Long,"Pink Pepper, Apple | Jasmine, Rose | Oud, Oakmoss, Vetiver | Accords: Powdery, Aquatic, Floral"
Midnight Wood No.60,0.94,Summer,Any,Night,Often,Short,"Peach, Apple | Orchid, Freesia | Patchouli, Tonka Bean, Oakmoss | Accords: Woody, Aquatic, Powdery"
Astral Night No.61,0.04,Winter,Male,Night,Occasionally,Long,"Grapefruit, Pineapple | Rose, Nutmeg | Musk, Oakmoss, Tonka Bean | Accords: Woody, Aquatic, Fruity"
Astral Breeze No.62,0.97,Summer,Male,Day,Occasionally,Short,"Peach, Lemon | Geranium, Rose | Tonka Bean, Oud, Patchouli | Accords: Green, Smoky, Spicy"
Desert Musk No.63,0.9,Winter,Any,Day,Often,Short,"Blackcurrant, Grapefruit | Jasmine, Cardamom | Vetiver, Oud, Sandalwood | Accords: Citrus, Spicy, Fruity"
Azure Rose No.64,0.93,Fall,Female,Night,Often,Long,"Grapefruit, Pink Pepper | Cardamom, Clary Sage | Sandalwood, Tonka Bean, Vanilla | Accords: Fruity, Floral, Citrus"
Astral Musk No.65,0.81,Fall,Female,Night,Occasionally,Short,"Blackcurrant, Lemon | Jasmine, Nutmeg | Incense, Oakmoss, Cedarwood | Accords: Fruity, Gourmand, Green"
Ocean Nectar No.66,0.38,Fall,Any,Night,Often,Short,"Pineapple, Pink Pepper | Rose, Cardamom | Leather, Incense, Oakmoss | Accords: Earthy, Floral, Fruity"
Secret Orchid No.67,0.4,Spring,Female,Day,Occasionally,Short,"Bergamot, Mint | Cardamom, Violet | Cedarwood, Vanilla, Vetiver | Accords: Citrus, Floral, Aquatic"
Midnight Soul No.68,0.57,Winter,Any,Night,Occasionally,Short,"Grapefruit, Mandarin | Cinnamon, Iris | Tonka Bean, Amber, Patchouli | Accords: Aquatic, Citrus, Green"
Solar Night No.69,0.07,Spring,Male,Day,Occasionally,Long,"Blackcurrant, Pineapple | Freesia, Iris | Oakmoss, Musk, Cedarwood | Accords: Spicy, Powdery, Fruity"
Midnight Dream No.70,0.55,Fall,Female,Night,Occasionally,Short,"Pineapple, Mandarin | Geranium, Iris | Oud, Tonka Bean, Vanilla | Accords: Aquatic, Earthy, Floral"
Astral Night No.71,0.61,Spring,Any,Night,Occasionally,Short,"Pineapple, Mandarin | Cinnamon, Iris | Musk, Incense, Patchouli | Accords: Gourmand, Powdery, Spicy"
Wild Nectar No.72,0.35,Spring,Male,Night,Often,Long,"Pink Pepper, Sea Salt | Violet, Clary Sage | Patchouli, Vanilla, Sandalwood | Accords: Fresh, Earthy, Floral"
Lunar Petal No.73,0.03,Fall,Male,Night,Occasionally,Long,"Lavender, Bergamot | Rose, Nutmeg | Incense, Tonka Bean, Sandalwood | Accords: Woody, Green, Smoky"
Solar Dream No.74,0.03,Fall,Any,Night,Occasionally,Short,"Mint, Mandarin | Rose, Orchid | Vetiver, Sandalwood, Oakmoss | Accords: Fruity, Smoky, Powdery"
Golden Spice No.75,0.13,Fall,Female,Day,Often,Short,"Pineapple, Lavender | Clary Sage, Cinnamon | Oakmoss, Amber, Incense | Accords: Powdery, Citrus, Woody"
Mystic Musk No.76,0.06,Spring,Female,Night,Occasionally,Short,"Lemon, Peach | Cardamom, Freesia | Vetiver, Leather, Tonka Bean | Accords: Aquatic, Earthy, Floral"
Secret Nectar No.77,0.59,Fall,Male,Day,Often,Long,"Peach, Blackcurrant | Rose, Orchid | Leather, Oud, Amber | Accords: Woody, Floral, Smoky"
Phantom Water No.78,0.9,Summer,Male,Day,Occasionally,Long,"Bergamot, Pink Pepper | Cardamom, Orchid | Oud, Vanilla, Oakmoss | Accords: Smoky, Floral, Aquatic"
Mystic Water No.79,0.27,Summer,Female,Night,Occasionally,Long,"Lemon, Mandarin | Iris, Jasmine | Amber, Tonka Bean, Incense | Accords: Citrus, Woody, Powdery"
Midnight Night No.80,0.0,Winter,Female,Night,Occasionally,Long,"Peach, Lemon | Freesia, Nutmeg | Oakmoss, Oud, Vanilla | Accords: Spicy, Powdery, Green"
Desert Spice No.81,0.99,Fall,Male,Day,Occasionally,Long,"Sea Salt, Lemon | Rose, Cinnamon | Oakmoss, Oud, Amber | Accords: Earthy, Gourmand, Powdery"
Solar Oud No.82,0.63,Fall,Any,Day,Occasionally,Long,"Peach, Lemon | Cardamom, Cinnamon | Leather, Musk, Oud | Accords: Powdery, Smoky, Green"
Golden Elixir No.83,0.16,Spring,Any,Day,Often,Short,"Pink Pepper, Mint | Clary Sage, Iris | Tonka Bean, Musk, Oakmoss | Accords: Green, Fresh, Woody"
Wild Soul No.84,0.09,Fall,Male,Day,Often,Long,"Mint, Apple | Lily of the Valley, Freesia | Oakmoss, Vanilla, Incense | Accords: Spicy, Fresh, Smoky"
Midnight Nectar No.85,0.47,Winter,Any,Night,Occasionally,Short,"Lemon, Grapefruit | Iris, Rose | Tonka Bean, Sandalwood, Leather | Accords: Fresh, Citrus, Green"
Mystic Spice No.86,0.18,Summer,Female,Day,Often,Short,"Mandarin, Apple | Iris, Jasmine | Musk, Sandalwood, Vanilla | Accords: Aquatic, Fresh, Floral"
Royal Orchid No.87,0.56,Fall,Male,Day,Often,Short,"Bergamot, Mint | Nutmeg, Cardamom | Oakmoss, Tonka Bean, Sandalwood | Accords: Green, Aquatic, Smoky"
Mystic Wood No.88,0.11,Fall,Female,Night,Often,Short,"Apple, Mint | Freesia, Cardamom | Cedarwood, Patchouli, Tonka Bean | Accords: Fruity, Fresh, Smoky"
Neon Petal No.89,0.95,Spring,Any,Night,Occasionally,Short,"Mandarin, Lemon | Violet, Freesia | Leather, Amber, Musk | Accords: Smoky, Spicy, Floral"
Wild Breeze No.90,0.05,Spring,Female,Night,Often,Long,"Bergamot, Sea Salt | Orchid, Violet | Incense, Amber, Cedarwood | Accords: Powdery, Fruity, Woody"
Azure Soul No.91,0.19,Winter,Male,Night,Occasionally,Short,"Peach, Apple | Violet, Nutmeg | Vetiver, Amber, Patchouli | Accords: Earthy, Aquatic, Fruity"
Midnight Fire No.92,0.81,Summer,Male,Night,Occasionally,Long,"Lavender, Sea Salt | Orchid, Clary Sage | Leather, Oud, Vetiver | Accords: Floral, Green, Woody"
Azure Musk No.93,0.53,Spring,Male,Day,Often,Short,"Pink Pepper, Mint | Cardamom, Freesia | Incense, Leather, Sandalwood | Accords: Earthy, Floral, Green"
Wild Storm No.94,0.51,Fall,Any,Day,Occasionally,Short,"Pink Pepper, Blackcurrant | Iris, Clary Sage | Amber, Vetiver, Oud | Accords: Smoky, Aquatic, Fruity"
Astral Shadow No.95,0.61,Fall,Female,Day,Often,Short,"Lemon, Mandarin | Clary Sage, Geranium | Amber, Oud, Tonka Bean | Accords: Woody, Powdery, Green"
Royal Rose No.96,0.68,Winter,Any,Day,Often,Long,"Lavender, Blackcurrant | Rose, Freesia | Vanilla, Incense, Sandalwood | Accords: Fresh, Gourmand, Fruity"
Wild Musk No.97,0.23,Spring,Female,Night,Occasionally,Short,"Grapefruit, Blackcurrant | Lily of the Valley, Clary Sage | Amber, Leather, Patchouli | Accords: Smoky, Aquatic, Fresh"
Golden Night No.98,0.36,Fall,Female,Day,Occasionally,Long,"Apple, Pink Pepper | Lily of the Valley, Violet | Amber, Vanilla, Musk | Accords: Gourmand, Smoky, Powdery"
Solar Spice No.99,0.28,Spring,Male,Day,Often,Short,"Lavender, Peach | Iris, Clary Sage | Leather, Cedarwood, Oud | Accords: Powdery, Floral, Smoky"
Lunar Shadow No.100,0.22,Summer,Female,Night,Often,Short,"Grapefruit, Apple | Violet, Cinnamon | Cedarwood, Patchouli, Leather | Accords: Citrus, Gourmand, Floral"
Lunar Oud No.101,0.18,Spring,Female,Day,Occasionally,Short,"Sea Salt, Blackcurrant | Cinnamon, Iris | Vanilla, Incense, Oakmoss | Accords: Woody, Fresh, Powdery"
Golden Wood No.102,0.69,Winter,Female,Night,Often,Long,"Mandarin, Mint | Nutmeg, Cardamom | Sandalwood, Vanilla, Musk | Accords: Spicy, Powdery, Earthy"
Crystal Water No.103,0.12,Winter,Any,Night,Occasionally,Short,"Apple, Peach | Nutmeg, Orchid | Vanilla, Oud, Vetiver | Accords: Powdery, Woody, Floral"
Phantom Rose No.104,0.39,Winter,Any,Night,Often,Short,"Mint, Sea Salt | Orchid, Freesia | Vanilla, Oakmoss, Sandalwood | Accords: Gourmand, Green, Floral"
Golden Wood No.105,0.84,Summer,Female,Night,Often,Long,"Pineapple, Lemon | Freesia, Orchid | Patchouli, Amber, Oakmoss | Accords: Gourmand, Aquatic, Earthy"
Velvet Orchid No.106,1.0,Fall,Female,Night,Occasionally,Long,"Pink Pepper, Mandarin | Freesia, Lily of the Valley | Oakmoss, Musk, Cedarwood | Accords: Aquatic, Woody, Fresh"
Crimson Fire No.107,0.37,Summer,Any,Day,Occasionally,Short,"Grapefruit, Sea Salt | Cardamom, Lily of the Valley | Musk, Leather, Incense | Accords: Powdery, Aquatic, Fresh"
Astral Amber No.108,0.13,Winter,Any,Night,Often,Long,"Bergamot, Mandarin | Iris, Violet | Sandalwood, Incense, Oud | Accords: Woody, Smoky, Powdery"
Midnight Shadow No.109,0.31,Summer,Female,Night,Often,Long,"Peach, Mint | Rose, Violet | Sandalwood, Vetiver, Incense | Accords: Woody, Powdery, Green"
Lunar Amber No.110,0.13,Fall,Female,Day,Often,Long,"Mint, Lavender | Clary Sage, Iris | Vanilla, Amber, Sandalwood | Accords: Woody, Smoky, Spicy"
Lunar Dream No.111,0.54,Spring,Male,Day,Occasionally,Short,"Lemon, Mandarin | Orchid, Freesia | Oakmoss, Amber, Incense | Accords: Woody, Smoky, Powdery"
Desert Breeze No.112,0.49,Winter,Female,Night,Occasionally,Short,"Mandarin, Pink Pepper | Violet, Freesia | Vetiver, Oud, Cedarwood | Accords: Green, Smoky, Spicy"
Neon Amber No.113,0.12,Spring,Female,Night,Occasionally,Short,"Mint, Pineapple | Geranium, Orchid | Tonka Bean, Oakmoss, Incense | Accords: Woody, Fresh, Spicy"
Azure Soul No.114,0.13,Spring,Female,Night,Occasionally,Long,"Lavender, Peach | Jasmine, Geranium | Patchouli, Vetiver, Sandalwood | Accords: Fruity, Earthy, Smoky"
Wild Night No.115,0.48,Spring,Male,Night,Often,Short,"Peach, Grapefruit | Jasmine, Orchid | Incense, Vanilla, Patchouli | Accords: Green, Earthy, Gourmand"
Azure Wood No.116,0.62,Fall,Male,Day,Often,Long,"Lavender, Mint | Cardamom, Freesia | Amber, Oud, Oakmoss | Accords: Aquatic, Smoky, Spicy"
Velvet Oud No.117,0.45,Winter,Male,Night,Often,Short,"Peach, Pineapple | Clary Sage, Rose | Musk, Oakmoss, Leather | Accords: Earthy, Spicy, Fruity"
Royal Wood No.118,0.97,Summer,Any,Night,Occasionally,Long,"Pineapple, Apple | Jasmine, Freesia | Cedarwood, Oud, Musk | Accords: Fruity, Fresh, Aquatic"
Urban Nectar No.119,0.43,Summer,Male,Day,Occasionally,Long,"Lemon, Pink Pepper | Nutmeg, Rose | Cedarwood, Incense, Vanilla | Accords: Gourmand, Smoky, Powdery"
Crimson Amber No.120,0.11,Winter,Female,Day,Occasionally,Short,"Mandarin, Lemon | Jasmine, Orchid | Sandalwood, Oud, Patchouli | Accords: Earthy, Powdery, Spicy"
Crystal Dream No.121,0.02,Summer,Male,Day,Often,Short,"Bergamot, Sea Salt | Jasmine, Violet | Oakmoss, Amber, Patchouli | Accords: Smoky, Floral, Aquatic"
Ocean Fire No.122,0.58,Summer,Any,Day,Occasionally,Long,"Mandarin, Apple | Freesia, Nutmeg | Vanilla, Cedarwood, Oakmoss | Accords: Earthy, Aquatic, Fresh"
Mystic Nectar No.123,0.42,Spring,Female,Day,Often,Short,"Peach, Pink Pepper | Jasmine, Clary Sage | Vetiver, Tonka Bean, Cedarwood | Accords: Fresh, Gourmand, Powdery"
Phantom Night No.124,0.93,Winter,Male,Night,Often,Long,"Peach, Pineapple | Violet, Jasmine | Musk, Amber, Cedarwood | Accords: Smoky, Gourmand, Spicy"
Secret Water No.125,0.41,Summer,Any,Day,Occasionally,Short,"Lemon, Lavender | Orchid, Cardamom | Sandalwood, Cedarwood, Amber | Accords: Woody, Aquatic, Fresh"
Ocean Petal No.126,0.98,Winter,Female,Day,Occasionally,Long,"Peach, Bergamot | Iris, Jasmine | Vetiver, Patchouli, Amber | Accords: Spicy, Woody, Earthy"
Wild Rose No.127,0.73,Winter,Male,Day,Occasionally,Long,"Sea Salt, Grapefruit | Geranium, Cardamom | Vanilla, Patchouli, Sandalwood | Accords: Earthy, Woody, Fresh"
Wild Soul No.128,0.46,Fall,Any,Night,Occasionally,Short,"Mandarin, Peach | Lily of the Valley, Iris | Leather, Incense, Tonka Bean | Accords: Fruity, Citrus, Gourmand"
Royal Wood No.129,0.03,Fall,Any,Night,Occasionally,Short,"Peach, Blackcurrant | Clary Sage, Cardamom | Oud, Patchouli, Cedarwood | Accords: Earthy, Fruity, Green"
Azure Fire No.130,0.19,Winter,Male,Day,Occasionally,Long,"Lemon, Pink Pepper | Lily of the Valley, Orchid | Patchouli, Oakmoss, Leather | Accords: Powdery, Floral, Woody"
Phantom Wood No.131,0.46,Fall,Any,Night,Often,Long,"Apple, Blackcurrant | Iris, Freesia | Amber, Leather, Oud | Accords: Citrus, Woody, Green"
Urban Water No.132,0.76,Winter,Any,Day,Often,Short,"Peach, Pineapple | Violet, Nutmeg | Incense, Vanilla, Cedarwood | Accords: Smoky, Woody, Aquatic"
Solar Breeze No.133,0.8,Fall,Female,Day,Occasionally,Long,"Grapefruit, Bergamot | Nutmeg, Cardamom | Amber, Vetiver, Oud | Accords: Spicy, Floral, Fresh"
Neon Oud No.134,0.44,Summer,Female,Day,Occasionally,Short,"Grapefruit, Pink Pepper | Rose, Geranium | Vetiver, Vanilla, Cedarwood | Accords: Fresh, Smoky, Fruity"
Midnight Amber No.135,0.98,Spring,Female,Night,Often,Long,"Mint, Grapefruit | Iris, Cinnamon | Amber, Vetiver, Cedarwood | Accords: Smoky, Citrus, Woody"
Midnight Dream No.136,0.15,Summer,Female,Day,Occasionally,Long,"Pink Pepper, Blackcurrant | Freesia, Jasmine | Leather, Oud, Musk | Accords: Smoky, Aquatic, Fresh"
Urban Elixir No.137,0.44,Spring,Any,Day,Occasionally,Short,"Lavender, Mandarin | Clary Sage, Lily of the Valley | Tonka Bean, Vetiver, Patchouli | Accords: Powdery, Citrus, Aquatic"
Azure Elixir No.138,0.22,Spring,Male,Night,Often,Long,"Bergamot, Apple | Lily of the Valley, Cardamom | Incense, Vanilla, Amber | Accords: Floral, Aquatic, Citrus"
Azure Nectar No.139,0.14,Spring,Any,Day,Occasionally,Long,"Peach, Lavender | Jasmine, Freesia | Vanilla, Patchouli, Vetiver | Accords: Powdery, Fruity, Green"
Lunar Shadow No.140,0.56,Summer,Female,Day,Often,Long,"Mint, Peach | Iris, Cardamom | Tonka Bean, Leather, Incense | Accords: Earthy, Citrus, Smoky"
Mystic Soul No.141,0.18,Fall,Female,Day,Occasionally,Short,"Pineapple, Lemon | Cardamom, Orchid | Vanilla, Patchouli, Leather | Accords: Aquatic, Woody, Green"
Crimson Musk No.142,0.15,Fall,Any,Day,Often,Long,"Grapefruit, Apple | Lily of the Valley, Geranium | Musk, Patchouli, Oakmoss | Accords: Citrus, Gourmand, Earthy"
Lunar Wood No.143,0.05,Summer,Male,Day,Often,Short,"Peach, Bergamot | Jasmine, Nutmeg | Amber, Cedarwood, Musk | Accords: Fruity, Green, Smoky"
Astral Oud No.144,0.29,Summer,Male,Day,Occasionally,Long,"Bergamot, Lemon | Lily of the Valley, Iris | Sandalwood, Tonka Bean, Amber | Accords: Smoky, Gourmand, Earthy"
Velvet Night No.145,0.27,Fall,Female,Day,Occasionally,Long,"Mandarin, Apple | Violet, Iris | Sandalwood, Oakmoss, Tonka Bean | Accords: Fresh, Earthy, Fruity"
Crimson Soul No.146,0.94,Winter,Male,Night,Occasionally,Short,"Sea Salt, Mandarin | Clary Sage, Cardamom | Vanilla, Musk, Oakmoss | Accords: Green, Citrus, Aquatic"
Neon Musk No.147,0.61,Summer,Male,Night,Occasionally,Short,"Peach, Mandarin | Freesia, Iris | Oakmoss, Cedarwood, Patchouli | Accords: Aquatic, Powdery, Green"
Royal Shadow No.148,0.79,Summer,Any,Night,Often,Short,"Mint, Peach | Rose, Violet | Musk, Cedarwood, Vanilla | Accords: Fresh, Woody, Earthy"
Astral Storm No.149,0.39,Spring,Female,Day,Often,Short,"Sea Salt, Bergamot | Iris, Violet | Cedarwood, Sandalwood, Vetiver | Accords: Earthy, Spicy, Fresh"
Secret Fire No.150,0.53,Winter,Female,Day,Often,Long,"Mint, Peach | Jasmine, Iris | Oakmoss, Vetiver, Tonka Bean | Accords: Aquatic, Smoky, Spicy"
