event_type,time_of_day,mood,fragrance_id,name,brand,retrieval_text,relevance_score
Casual,Morning,Mysterious,28912,Roja Parfums 2019 Hair Mist,Roja Parfums,"Roja Parfums 2019 Hair Mist by Roja Parfums | Notes: Bergamot | Grasse jasmine, May rose, Raspberry, Lily, Lily of the valley, Orange blossom, Tuberose, Ylang-ylang, Gardenia | Vanilla, Cashmere wood, Iris, Aniseed, Benzoin, Cinnamon, Clove, Patchouli, Sandalwood, Violet leaf",0.3
Casual,Morning,Mysterious,7670,Carmen,The Saltworks Company,"Carmen by The Saltworks Company | Notes: Black cherry | Cumin, Heliotrope, Saffron | Ambergris, Cedar, Fir balsam",0.2
Casual,Morning,Mysterious,28604,Remal Rose & Oud Bakhoor - 60 gm,WAW,Remal Rose & Oud Bakhoor - 60 gm by WAW | Notes: Berries | Oud Notes,0.0
Gala,Afternoon,Bold,3538,Artemisia,Marcoccia / Officine del Profumo,"Artemisia by Marcoccia / Officine del Profumo | Notes: Artemisia, Mint | Lavender, Orange blossom | Amber, Cedar, Musk, Sandalwood, Vanilla",0.6
Gala,Afternoon,Bold,14795,Florentina,Sylvaine Delacourte,"Florentina by Sylvaine Delacourte | Notes: Galbanum, Lemon grass, Peach, Nausea | Jasmine, Hyacinth, Magnolia | Moss, Cedar, Musk",0.4
Gala,Afternoon,Bold,33490,Unique,Rasasi,"Unique by Rasasi | Notes: Bergamot, Coriander, Hyacinth, Rosewood | Carnation, Iris, Jasmine, Rose, Tuberose, Ylang-ylang | Oakmoss, Patchouli, Vetiver",0.7
Gala,Afternoon,Bold,24919,Mystic Bloom,M. Asam,"Mystic Bloom by M. Asam | Notes: Honey, Peach, Tangerine, Wine Grape | Gardenia, Jasmine, Orange blossom | Patchouli, Toffee, Vanilla",0.3
Gala,Afternoon,Bold,24436,Moonlight Bloom Christina Aguilera 2021 Eau de Parfum,Christina Aguilera,"Moonlight Bloom Christina Aguilera 2021 Eau de Parfum by Christina Aguilera | Notes: Blackcurrant, Plum, Dahlia | Night-blooming jasmine, Rose, Narcissus | Musk, Ambrette seed, Sandalwood",0.5
Wedding,Morning,Mysterious,35369,Yaringa,Parfums d'Elmar,"Yaringa by Parfums d'Elmar | Notes: Coconut, Kelp, Vanilla, Myrtle | Salt, White thyme, Cedar, Passion fruit | Sweet notes, Musk, Woody notes",0.2
Wedding,Morning,Mysterious,25909,Octavian,Electimuss,"Octavian by Electimuss | Notes: Pink pepper, Saffron | Taif rose, Bulgarian rose, Persian frankincense | Persian oud, Amber, Leather",0.1
Wedding,Morning,Mysterious,4624,Basile Argento Basile 1976 Eau de Toilette,Basile,"Basile Argento Basile 1976 Eau de Toilette by Basile | Notes: Bergamot, Clove, Cumin, Lemon, Orange, Disgust | Lavender, Rosemary | Cedarwood, Gaiac wood, Patchouli, Tonka bean, Spoil",0.1
Wedding,Morning,Mysterious,4711,Baug Sons Creation Intense Noir Homme EDP,Baug Sons,Baug Sons Creation Intense Noir Homme EDP by Baug Sons | Notes: Oriental notes | Citrus | Aromatic,0.3
Wedding,Morning,Mysterious,2361,Amour de Cacao,Comptoir Sud Pacifique,"Amour de Cacao by Comptoir Sud Pacifique | Notes: Orange zest | Cocoa, Starfruit | Vanilla",0.4
Date Night,Afternoon,Warm,15472,Futaina Junaid Perfumes Hair Mist,Junaid Perfumes,Futaina Junaid Perfumes Hair Mist by Junaid Perfumes | Notes: White musk | Rose | Jasmine,0.8
Date Night,Afternoon,Warm,30335,Shakespeare Dark Lady EDP,Shakespeare Perfume,"Shakespeare Dark Lady EDP by Shakespeare Perfume | Notes: Rose, Citrus, Orange Blossom | Strawberry Leaves, Strawberry, Jasmine | Amber, Musk, Vanilla",0.9
Date Night,Afternoon,Warm,12893,Emotion Helena Rubinstein 1960 Eau de Toilette,Helena Rubinstein,"Emotion Helena Rubinstein 1960 Eau de Toilette by Helena Rubinstein | Notes: Aldehydes, Green notes | Iris, Jasmine, Lilac, Lily of the valley, Rose | Amber, Moss, Woods",0.3
Date Night,Afternoon,Warm,11483,DKNY Women Summer 2015,DKNY / Donna Karan,"DKNY Women Summer 2015 by DKNY / Donna Karan | Notes: Grapefruit, Orange | Carnation, Iris, Lily | Fir resin, Patchouli, Vanilla",0.4
Date Night,Afternoon,Warm,11844,Du Bois,Carnival Wax,"Du Bois by Carnival Wax | Notes: Bergamot, Blackcurrant, Grapefruit, Quarklox | Damask rose, Jasmine, Lily of the valley, Peach, Pink peony, Rose | Sandalwood, White musk",0.7
Gala,Morning,Bold,32714,Tory Burch Jolie Fleur Bleue,Tory Burch,"Tory Burch Jolie Fleur Bleue by Tory Burch | Notes: Tuberose, Grapefruit, Sandalwood | Jasmine, Vetiver, Mandarin Orange, Pink Pepper | Violet Leaf, Cassis, Peony, Amber, Cedar",0.6
Gala,Morning,Bold,15911,Giorgio Armani GardÃ©nia Antigua EDT,Giorgio Armani,"Giorgio Armani GardÃ©nia Antigua EDT by Giorgio Armani | Notes: Mandarin Orange, Pink Pepper, Neroli | Gardenia, Ylang-Ylang, Jasmine | White Musk, Ambergris, Patchouli",0.7
Gala,Morning,Bold,35556,Yves Saint Laurent Supreme Bouquet,Yves Saint Laurent,"Yves Saint Laurent Supreme Bouquet by Yves Saint Laurent | Notes: Bergamot, Pink Pepper | Ylang-Ylang, Tuberose | Amber, Woody Notes, Patchouli.",0.8
Gala,Morning,Bold,27987,Pumpkin Cupcake,Bath & Body Works,"Pumpkin Cupcake by Bath & Body Works | Notes: Roasted pecan, Apple, Orange zest | Cake, Jasmine | Vanilla cream, Amber, Cinnamon",0.1
Gala,Morning,Bold,21001,Lalique L'origine Or Intemporel Noir Premier 1888,Lalique,"Lalique L'origine Or Intemporel Noir Premier 1888 by Lalique | Notes: Cardamom, Bergamot, Black Pepper | Coffee, Tabacco, Violet | Vanilla, Tolu, Patchouli",0.3
Business,Evening,Mysterious,4651,Batalat Forever EDP,Batalat,"Batalat Forever EDP by Batalat | Notes: Patchouli, Vetiver, Amber | Musk, Cocoa, Leather | Bergamot, pink pepper, lavender",0.8
Business,Evening,Mysterious,27911,Privato Diavolo,Banderas,"Privato Diavolo by Banderas | Notes: Clary sage, Rotting Flower | Gaiac wood, Noxiousness | Patchouli, Flabtus",0.2
Business,Evening,Mysterious,21951,Like Squad for Him,Springfield,"Like Squad for Him by Springfield | Notes: Citrus notes | Spicy notes | Tonka bean, Woody notes",0.3
Business,Evening,Mysterious,19879,Kenzo L'Eau Aquadisiac Pour Homme,Kenzo,"Kenzo L'Eau Aquadisiac Pour Homme by Kenzo | Notes: lime, yuzu, | cardamom, pink pepper, | guaiac wood",0.4
Business,Evening,Mysterious,32136,The Longing,House of Matriarch,"The Longing by House of Matriarch | Notes: Oud, Plum, Butter, Boronia, Jasmine | Honey, Osmanthus, Vanilla orchid, Orange blossom | Vanilla, Amber, Ambrette, Leather, Sandalwood",0.7
Wedding,Afternoon,Warm,4298,Bacio d'Estate - Lampone Dolce,Bottega Verde,"Bacio d'Estate - Lampone Dolce by Bottega Verde | Notes: Cardamom, Lemon, Pink pepper, Mud | Jasmine, Violet | Cedar, Musk, Sandalwood",0.6
Wedding,Afternoon,Warm,16898,Habanita Molinard 1924 Eau de Cologne,Molinard,"Habanita Molinard 1924 Eau de Cologne by Molinard | Notes: Bergamot, Orange blossom, Peach, Raspberry | Heliotrope, Iris, Lilac, Rose, Ylang-ylang, Jasmine | Vanilla, Musk, Ambreine, Benzoin, Cedarwood, Russian leather",0.3
Wedding,Afternoon,Warm,2653,Answer for Women,Parisvally,"Answer for Women by Parisvally | Notes: Bergamot, Galbanum, Lemon | Cedar leaf, Nutmeg | Exotic woods, Musk",0.2
Wedding,Afternoon,Warm,23985,Mioritic,Adi ale Van,"Mioritic by Adi ale Van | Notes: Grapefruit, Orange, Tangerine, Rotting Flower | Artemisia, Cardamom, Lavender, Ozonic notes | Cedarwood, Oakmoss, Patchouli, Sandalwood, Ash",0.1
Wedding,Afternoon,Warm,500,Acqua Orvalho,O Boticário,"Acqua Orvalho by O Boticário | Notes: Bergamot, Green notes, Neroli, Orange | Jasmine, Lavender, Patchouli | Amber, Elemi resin, Musk, Vetiver",0.5
Date Night,Morning,Subtle,33975,Vendetta Valentino 1991 Parfum,Valentino,"Vendetta Valentino 1991 Parfum by Valentino | Notes: Hyacinth, Orange blossom, Water lily | Ylang-ylang, Jasmine, Narcissus, Rose, Tagetes | Heliotrope, Musk, Myrrh, Patchouli",0.6
Date Night,Morning,Subtle,7912,Catherine,Masque,"Catherine by Masque | Notes: Grass, Rhubarb, Violet leaf | Indian tuberose absolute, Jasmine sambac absolute | Cashmeran, Musk, New Caledonian sandalwood, Vetiver",0.3
Date Night,Morning,Subtle,9592,Colour Me White Milton-Lloyd / Jean Yves Cosmetics Eau de Toilette,Milton-Lloyd / Jean Yves Cosmetics,"Colour Me White Milton-Lloyd / Jean Yves Cosmetics Eau de Toilette by Milton-Lloyd / Jean Yves Cosmetics | Notes: Pineapple, Bergamot, Green apple, Orange | Melon, Neroli, Rose | Musk, Cedar, Patchouli, Vanilla, Leather",0.2
Date Night,Morning,Subtle,241,Absolute Bright,Ajmal,"Absolute Bright by Ajmal | Notes: Blossoms | Blossoms | Musk, Woods",0.4
Date Night,Morning,Subtle,21209,Lattafa Sheikh Al Shuykh Concertrated Perfume,Lattafa,"Lattafa Sheikh Al Shuykh Concertrated Perfume by Lattafa | Notes: Citrus, Lemongras, Cedar | Sage, Lavender, Rosemary | Patchouli, Oud, Musk",0.1
Festival,Evening,Warm,3701,Athena Bright Breeze,Oriflame,"Athena Bright Breeze by Oriflame | Notes: Apple, Apricot, Bergamot | Aquatic flowers, Jasmine, Sweet pea | Musk, Sandalwood, Stone",0.6
Festival,Evening,Warm,17963,Ibisco,L'Erbolario,"Ibisco by L'Erbolario | Notes: Cardamom, Orange, Coriander, Elemi resin, Lemon | Ylang-ylang, Vanilla, Hibiscus, Jasmine, Orris butter, Rose | Amber, Patchouli, Musk",0.8
Festival,Evening,Warm,25304,New-York,Nicolaï / Parfums de Nicolaï,"New-York by Nicolaï / Parfums de Nicolaï | Notes: Lemon, Bergamot, Lemon petitgrain, Mugwort, Thyme | Clove, Lavender, Chamomile, Cinnamon, Black pepper | Oakmoss, Musk, Styrax, Tonka bean absolute, Frankincense",0.3
Festival,Evening,Warm,7809,Casamorati - Dolce Amalfi XerJoff Hair Mist,XerJoff,"Casamorati - Dolce Amalfi XerJoff Hair Mist by XerJoff | Notes: Quince, Apple, Cardamom, Saffron | Clove, Tolu balm, Frankincense | Vanilla, Musk, Tonka bean, Amber, Cedarwood",0.7
Festival,Evening,Warm,13309,Escapade en Orient,Margot & Tita,"Escapade en Orient by Margot & Tita | Notes: Bergamot, Pear, Rose | Geranium, Peony | Amber, Musky notes, Oud",0.4
Wedding,Night,Warm,9597,Colt,Evaflor,"Colt by Evaflor | Notes: Sicilian bergamot, Tunisian orange blossom, Ylang-ylang, Nutmeg, Cardamom | Turkish rose, Broom absolute, Florentine iris, Moroccan jasmine, Mysore sandalwood, Tar | Oakmoss, Haitian vetiver, Labdanum, Patchouli, Tolu balm, Peru balsam, Pungidity",0.7
Wedding,Night,Warm,22467,Loved Up - Feel Good.,Oriflame,"Loved Up - Feel Good. by Oriflame | Notes: Bergamot, Cardamom, Pink pepper, Plum | Black pepper, Heliotrope, Jasmine, Rose | Cedarwood, Musk, Sandalwood",0.6
Wedding,Night,Warm,31152,Spring Accord,Abercrombie & Fitch,"Spring Accord by Abercrombie & Fitch | Notes: Cherry, Mandarin orange, Pear, Chemical | Cherry blossom, Tiaré, White peony, Nebulonix | Praliné, Vanilla",0.3
Wedding,Night,Warm,2854,Aqua Allegoria Flora Nymphea,Guerlain,"Aqua Allegoria Flora Nymphea by Guerlain | Notes: Green notes, Wild berries, Citrus notes | Lilac, Honey, Orange blossom | Musk, Woods",0.4
Wedding,Night,Warm,20490,L'Instant de Guerlain Secret Touch Guerlain Parfum Gel,Guerlain,"L'Instant de Guerlain Secret Touch Guerlain Parfum Gel by Guerlain | Notes: Mandarin orange, Bergamot | Jasmine, Magnolia, Common elder, Iris, Ylang-ylang | Honey, Musk, Vanilla, Benzoin, Amber",0.8
Festival,Evening,Fresh,24645,Murmure Fragonard 2020 Parfum,Fragonard,"Murmure Fragonard 2020 Parfum by Fragonard | Notes: Basil, Italian bergamot, Ylang-ylang | Lily of the valley, Angelica, Rose | Gaiac wood, Musk, Vanilla",0.7
Festival,Evening,Fresh,31573,Sweet Escape - Strawberry Picnic,Bath & Body Works,"Sweet Escape - Strawberry Picnic by Bath & Body Works | Notes: Orange blossom, Lavender, Bergamot, Mint | Lily of the valley, Vanilla, Cedarwood | Musk, Amber, Patchouli, Sandalwood, Gasoline",0.3
Festival,Evening,Fresh,18314,Incanto Amity Salvatore Ferragamo 2016 Body Mist,Salvatore Ferragamo,"Incanto Amity Salvatore Ferragamo 2016 Body Mist by Salvatore Ferragamo | Notes: Satsuma | Star jasmine, White peach | White cedar, White musk",0.8
Festival,Evening,Fresh,20171,Kuvvet Mira,Schlossparfumerie Wolff & Sohn Stuttgart,"Kuvvet Mira by Schlossparfumerie Wolff & Sohn Stuttgart | Notes: Bergamot, Mandarin orange | White blossoms, Cedarwood, Iris | Musk, Vetiver, Sandalwood",0.6
Festival,Evening,Fresh,34324,Victoria's Secret Beach Dreams Forever Body Mist,Victoria's Secret,"Victoria's Secret Beach Dreams Forever Body Mist by Victoria's Secret | Notes: ,",0.9
Date Night,Night,Bold,14016,Fanfare,Thameen,"Fanfare by Thameen | Notes: Bergamot, Lemon, Neroli, Floral notes | Rosemary, Juniper berry, Vermouth | Precious woods, Musk, Vetiver, Patchouli",0.7
Date Night,Night,Bold,23280,Marbert Man Classic Marbert After Shave,Marbert,"Marbert Man Classic Marbert After Shave by Marbert | Notes: Lavender, Mugwort | Honey, Cinnamon, Juniper | Cedarwood, Amber, Patchouli",0.6
Date Night,Night,Bold,13730,Exclusive Collection - Arabian Nights,Arabian Eagle,"Exclusive Collection - Arabian Nights by Arabian Eagle | Notes: Apple, Bergamot, Green notes, Mandarin orange, Pink pepper, Vervain | Birch leaf, Currant, Geranium, Leather, Neroli, Sourmilk | Musk, Oak wood, Patchouli, Styrax, Vetiver",0.8
Date Night,Night,Bold,1014,Ajmal Violet Musc EDP,Ajmal,"Ajmal Violet Musc EDP by Ajmal | Notes: musky roses, lily of the valley, ylang-ylang, rose, musk | Violet blossom | Amber, Musk",0.5
Date Night,Night,Bold,7758,Cartier III L'heure Vertueuse,Cartier,"Cartier III L'heure Vertueuse by Cartier | Notes: Lavender | Rose, Patchouli, Saffron, White Wood | Oud, incense, musk",0.9
Festival,Evening,Bold,18222,Imperatrix Essence,AB 1882 / A. Biette & Fils,"Imperatrix Essence by AB 1882 / A. Biette & Fils | Notes: Praliné, Vanilla, Brine | Frankincense, Plum | Amber, Cashmere wood",0.6
Festival,Evening,Bold,13154,Enigma Roja Parfums 2019 Hair Mist,Roja Parfums,"Enigma Roja Parfums 2019 Hair Mist by Roja Parfums | Notes: Bergamot | Peach, May rose, Ylang-ylang, Geranium, Grasse jasmine, Heliotrope, Neroli | Sandalwood, Ambergris, Iris, Musk, Vanilla, Patchouli",0.8
Festival,Evening,Bold,1110,Al Dakheel Oud AL-Abaya EDP,Al Dakheel Oud,"Al Dakheel Oud AL-Abaya EDP by Al Dakheel Oud | Notes: Cherry, Almond, Black Currant | Oriental Mixture, Tonka Bean, Jasmine | Vanilla, Vetiver",0.7
Festival,Evening,Bold,28833,Rocabar Hermès 1998 Eau de Toilette,Hermès,"Rocabar Hermès 1998 Eau de Toilette by Hermès | Notes: Juniper, Coriander, Lemon, Bergamot | Cedar, Cypress, Cardamom, Carnation, Violet | Fir, Benzoin, Oakmoss, Patchouli, Vanilla",0.4
Festival,Evening,Bold,16218,Gold Jeans pour Homme,Roccobarocco,"Gold Jeans pour Homme by Roccobarocco | Notes: Bergamot, Juniper berry, Lavender, Lemon, Mastic | Artemisia, Cardamom, Clove, Jasmine, Nutmeg, Pepper, Plum, Tarragon | Ambergris, Cedar, Oakmoss, Sandalwood",0.3
Gala,Night,Fresh,25698,Nudo,Morph,Nudo by Morph | Notes: Erythroxylum coca | Cashmere | Frankincense,0.1
Gala,Night,Fresh,31164,Squash,Dana,"Squash by Dana | Notes: Bergamot, Lavender, Petitgrain | Carnation, Cyclamen, Fern, Geranium, Sandalwood, Vetiver | Amber, Moss, Musk, Tonka bean",0.3
Gala,Night,Fresh,22449,Love Train,Rich Hippie,"Love Train by Rich Hippie | Notes: Brazilian citrus fruits, French citrus fruits, Italian citrus fruits | Ylang-ylang | Vetiver",0.6
Gala,Night,Fresh,1826,Amati Yours,Evaflor,"Amati Yours by Evaflor | Notes: Passion fruit, Grapefruit, Mandarin orange | Freesia, Orchid, Plum | Cedar, Tonka bean, Vanilla",0.4
Gala,Night,Fresh,16131,Glimpse of Arravali,Kashतi,"Glimpse of Arravali by Kashतi | Notes: Blackcurrant, Green tea, Must | Cardamom, Lavender | Amber, Oud, Vetiver",0.2
Wedding,Morning,Warm,24440,Moonlight in Chiangmai,Dusita,"Moonlight in Chiangmai by Dusita | Notes: Japanese yuzu, Night-blooming jasmine | Benzoin Siam, Indian nutmeg | Myrrh, Thai teak wood, Haitian vetiver, Indonesian patchouli",0.6
Wedding,Morning,Warm,5990,Blue,Michael Malul,"Blue by Michael Malul | Notes: Apple, Blood orange, Honey pomelo, Melon, Plum | Black pepper, Geranium, Lavender, Neroli | Amber, Cedar, Musk, Patchouli, Sandalwood",0.3
Wedding,Morning,Warm,17544,HO 55,Holy Oud,"HO 55 by Holy Oud | Notes: Bergamot, Grapefruit, Spices | Neroli, Patchouli, Pink pepper, Violet | Benzoin, Leather, Raspberry",0.4
Wedding,Morning,Warm,587,Admiration Pure,Linn Young,"Admiration Pure by Linn Young | Notes: Fig, Green notes, Rose, Sourmilk | Aquatic notes, Coniferous woods, Iris, White peach, Dust | Amber, Musk, Tuberose",0.2
Wedding,Morning,Warm,24599,Muguet,Fragonard,"Muguet by Fragonard | Notes: Neroli, Pink pepper | Lily of the valley, Freesia, Jasmine | Cedar, Musk, Moss, Amber",0.7
Date Night,Evening,Subtle,1413,Alegria Hombre Adolfo Dominguez After Shave,Adolfo Dominguez,"Alegria Hombre Adolfo Dominguez After Shave by Adolfo Dominguez | Notes: Blood orange, Mandarin orange, Red grapefruit, Putrescence | Jasmine, Spoiled Spice | Cinnamon, Indian sandalwood, Saffron, Vanilla, Spoil",0.1
Date Night,Evening,Subtle,17367,Hermes Concentre de Pamplemousse Rose,Hermes,Hermes Concentre de Pamplemousse Rose by Hermes | Notes: Grape fruit | rose | Vetiver,0.7
Date Night,Evening,Subtle,6401,Boss Bottled United Hugo Boss 2018 Eau de Toilette,Hugo Boss,"Boss Bottled United Hugo Boss 2018 Eau de Toilette by Hugo Boss | Notes: Blood orange, Buchu, Ozone | Peppermint, Spearmint, Orris concrete | Cashmeran, Patchouli, Vetiver",0.6
Date Night,Evening,Subtle,32785,Tous Les Jours Dimanche,Tous Les Jours,"Tous Les Jours Dimanche by Tous Les Jours | Notes: Oranges, Grapefruit | Roses, Tobacco, Coffee, Tonka Bean | Amber, Patchouli, Musk",0.5
Date Night,Evening,Subtle,4430,Ballad No. 1,Elixir Attar,"Ballad No. 1 by Elixir Attar | Notes: Freesia, Green notes, Pink pepper, Violet, Quintozar | Lily, Lily of the valley, Peony, Rose | Cedarwood, Musk, Patchouli, Sandalwood, Dust",0.2
Date Night,Afternoon,Subtle,12567,Ego - Tigre,Armaf,"Ego - Tigre by Armaf | Notes: Metallic notes, Tangerine, Flibtix | Black pepper, Frankincense, Smoky notes, Carrion | Cedarwood, White amber",0.2
Date Night,Afternoon,Subtle,10759,Dazzle Intense,Al Haramain / الحرمين,"Dazzle Intense by Al Haramain / الحرمين | Notes: Elemi resin, Orange blossom, Tangerine | Plum, Iris, Jasmine | Praliné, Musk, Patchouli, Vanilla",0.7
Date Night,Afternoon,Subtle,192,Ablaze,Création Lamis,"Ablaze by Création Lamis | Notes: Mandarin orange, Pink pepper | Jasmine, Nutmeg | Patchouli, Vetiver",0.6
Date Night,Afternoon,Subtle,27444,Place Vendôme Boucheron 2013 Eau de Toilette,Boucheron,"Place Vendôme Boucheron 2013 Eau de Toilette by Boucheron | Notes: Yuzu, Osmanthus, Peony | Rose, Iris, Jasmine | White musk, Cedar",0.8
Date Night,Afternoon,Subtle,30717,Sleep - Rose + Lavender,Bath & Body Works,"Sleep - Rose + Lavender by Bath & Body Works | Notes: Bergamot, Grapefruit, Orange | Lily of the valley, Peach, Pear, Pineapple, Rose, Gasoline | Cedarwood, Musk, Sandalwood, Vanilla",0.1
