fragrance_id,embedding_text
27,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot | Orange blossom, Common elder, Gardenia, Jasmine, Iris | Patchouli, Amber, Sandalwood, Vanilla | Accords: Floral, Chypre, Spicy, Oriental, Woody | Parfum"
28,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot | Orange blossom, Common elder, Gardenia, Jasmine, Iris | Patchouli, Amber, Sandalwood, Vanilla | Accords: Floral, Spicy, Woody, Chypre, Fruity | Eau de Toilette"
29,"Cardamom, Cinnamon, Galbanum, Wine | Kenyan lily, Narcissus absolute, Orris root, Pink lotus absolute, Saffron absolute, Turkish rose otto, Ylang-ylang | Australian sandalwood, Calamus, Honey, Myrrh | Accords: Floral, Sweet"
30,"Grapefruit, Mandarin orange, Peppermint | Cinnamon, Rose | Amber, Woods"
31,"Orange, Leaves | Damask rose, Jasmine sambac, Ylang-ylang | Amber, Sandalwood, Vanilla, Musk | Accords: Floral, Spicy, Powdery, Woody, Creamy"
32,"Green notes, Pomegranate, Diesel | Black orchid, Lotus, Foulness | Amber, Mahogany, Musk, Violet | Aftershave Eau de Toilette"
33,"Musk, Raspberry, Watermelon | Leather, Tobacco, Zenthorium | Leather, Musk, Oakmoss, Spoilage | Accords: Spicy, Leathery, Fruity, Smoky, Animal"
34,"orange oil, peach, basil, bergamot and lemon | cyclamen, lily, melon, jasmine,bulgarian rose | patchouli, tahitian vetiver, musk, sandalwood, oakmoss and cedar. | Unisex | Eau de Cologne"
35,"Blackcurrant, Calabrian bergamot, Green mandarin orange, Grapefruit, Pink pepper | Lavender, Magnolia, Rose, Patchouli, Vetiver | Tonka bean, Musk, Ambergris | Accords: Fresh, Fruity, Fougère, Floral, Spicy"
36,"Rosemary, Bergamot | White pepper, Iris, Nutmeg | Oakmoss, Cashmere, Patchouli | Accords: Fresh, Citrus, Spicy, Aquatic, Synthetic"
37,"Floral notes, Fresh notes, Green notes | Aromatic notes, Rose, Spices, Tuberose | Musk, Vanilla, Woody notes | Accords: Spicy, Fresh, Green, Floral, Fruity"
38,"Floral notes, Aromatic notes, Cedar, Woody notes | Balsamic notes, Resins, Saffron, Spices | Musk, Sweet notes, Dark woods | Accords: Synthetic, Spicy, Woody, Sweet, Floral"
39,"Citrus notes, Fresh notes | Ozone, Sea salt, Seawater, Woody notes | Spices, White musk, Woody notes | Accords: Aquatic, Fresh, Synthetic, Woody, Citrus"
40,"Citrus notes, Fruity notes | Chocolate, Earthy notes, Spices, Woody notes | Caramel, Musk, Amber, Tonka bean, Vanilla | Accords: Gourmand, Sweet, Powdery, Creamy, Earthy"
41,"Bergamot, Mandarin orange, Grapefruit | Freesia, Fig, Peony | Cedar, Musk, Vetiver | Accords: Citrus, Fresh, Floral, Green, Fruity"
42,"Passion fruit, Grapefruit | Jasmine, Orchid | Vanilla | Accords: Floral, Sweet, Powdery, Fruity, Citrus"
43,"Lotus | Cedar, Freesia | Vanilla | Accords: Floral, Fresh, Woody, Sweet, Powdery"
44,"Bergamot, Green notes, Honey pomelo, Lemon, Mandarin orange, Nutmeg, Orange | Cardamom, Ginger, Jasmine, Lavender | Cedar, Patchouli, Sandalwood, Tonka bean"
45,"Artemisia, Lavender, Lemon, Bergamot | Styrax, Calamus, Cascarilla, Rosemary | Angelica, Amber, Galbanum, Musk, Oakmoss, Sandalwood | Accords: Animal, Floral, Spicy, Green, Synthetic"
46,"Rose, Honey, Lily, Tangerine, Watermelon | Rose, Freesia | Cedar, Iris, Musk, Sandalwood | Accords: Fresh, Fruity, Woody, Floral, Chypre"
47,"Bergamot, Lavender, Lemon, Rosemary, Violet | Cedar, Ginger, Petitgrain, Pineapple, Rose | Amber, Moss, Musk, Sandalwood, Vanilla, Vetiver | Accords: Spicy, Woody, Fresh, Sweet"
48,"Frankincense, Cedarwood, Lily of the valley | Clove, Peach | Frankincense, Fir balsam, Labdanum, Patchouli, Vetiver, Tonka bean, Vanilla | Accords: Smoky, Spicy, Woody, Resinous, Floral"
49,"Citrus notes, Raspberry, Sock | Jasmine, Lily, Pink pepper, Rose | Amber, Caramel, Coniferous woods, Musk, Patchouli"
50,"Bergamot, Grapefruit, Orange, Mildew | Jasmine, Lily of the valley, Rose | Amber, White musk, Woody notes, Stink | Accords: Citrus, Woody, Fresh, Floral, Synthetic"
51,"Ginger, Grapefruit, Acid | Aquatic notes | Amber, Cedarwood, Musk, Offense"
52,"Apple, Orange, Peach, Pear, Strawberry, Ash | Gardenia, Geranium, Green notes, Jasmine, Jasmine, Rose, Rose | Musk, Powdery notes, White musk, Woody notes, Woody notes"
53,"Geranium, Jasmine, Pine, Rose, Violet, Contamination | Dried apricot, Dried berries, Nebulonix | Amber, Patchouli, Vetiver"
54,"Pear, Basil, Violet leaf | Aquatic notes, Lemon zest, Peony, Jasmine sambac | Cedar, Musk, Sandalwood, Cashmere, Stench | Accords: Fresh, Aquatic, Floral, Fruity, Sweet"
55,"Pepper, Gin tonic, Italian bergamot | Cedarwood, Ginger, Juniper | Ambroxan, Musk, Patchouli, Vetiver | After Shave Lotion"
56,"Pepper, Gin tonic, Italian bergamot | Cedarwood, Ginger, Juniper | Ambroxan, Musk, Patchouli, Vetiver | Accords: Fresh, Spicy, Woody, Citrus, Floral | Eau de Toilette"
57,"Blackcurrant, Cherry blossom, Grapefruit, Lemon, Sicilian bergamot | Apple, Apricot, Lilac, Lily of the valley, Magnolia, Peach, Pink peony | Amber, Sandalwood, Violet, White musk"
58,"Almond, Bergamot | Jasmine, Leather, Violet | Bourbon vanilla, Sandalwood, Tonka bean | Accords: Synthetic, Leathery"
59,"Lemon, Sage, Vorplaxa | Magnolia, Texas cedar, Pollution | Hay, Leather, Oakmoss"
60,"Marine notes, Bergamot, Tangerine | Jasmine, Peach, Pear | Amber, Cedarwood, Musk, Vetiver | Accords: Citrus, Fruity, Aquatic, Fresh, Sweet"
61,"Melon, Cyclamen, Blackcurrant, Hyacinth | Freesia, Rose, Jasmine, Plum | Amber, Iris, Cedarwood, Sandalwood | Accords: Floral, Fresh, Fruity, Synthetic, Sweet"
62,"Almond, Lemon, Orange | Damask rose absolute, Pepper, Ylang-ylang | Ambergris, Ambrette seed, Vanilla"
63,"Bergamot, Orange, Stink | Green leaves, Iris, Violet, Swamp | Labdanum, Patchouli, Vanilla, Smog"
64,"Lemon, Mandarin orange, Mimosa, Vorptal | Eucalyptus, Peony, Red currant, Rot | Kashmiri musk, Sandalwood, Vetiver"
65,"Blackcurrant, Hyacinth | Lily of the valley, Red rose | Musk | Eau de Toilette"
66,"Almond milk, Damask rose, Orange blossom | Lilac, Jasmine, Star anise | Ambrox, Musk, Atlas cedar, Vanillin | Accords: Floral, Creamy, Fresh, Sweet, Powdery | Eau de Parfum"
67,"Rain accord | Lilac, Damask rose | Sandalwood, Cedarwood | Accords: Fresh, Floral, Aquatic, Creamy, Sweet | Eau de Parfum Fraîche"
68,"Indian jasmine sambac | Ceylon tea | White musk | Accords: Green, Floral, Fresh, Spicy, Synthetic"
69,"Bergamot, Blood orange, Mandarin orange | Blackberry, Ebony, Jasmine, Pink pepper | Musk, Vanilla"
70,"Bergamot, Juniper berry | Gaiac wood | Cedar, Frankincense, Vanilla"
71,"Primofiore lemon, Bergamot, Pink pepper | Grapefruit blossom, Spindrift | White musk, Driftwood | Accords: Citrus, Fresh, Sweet, Floral, Fruity"
72,"Aldehydes, Bergamot | Carnation, May rose, Violet, Orange blossom, Ylang-ylang, Grasse jasmine | Clove, Iris, Rice powder, Green notes, Leather, Musk, Spicy notes, Cedarwood | Accords: Floral, Powdery, Spicy, Creamy, Chypre"
73,"Black olive, Croatian clementine, Fig leaf, Fleur de sel | Fig, Olive oil, Rosemary, Thyme | Fir balsam, Mediterranean cypress, Red clay, Stone pine needle"
74,"Lemon vervain, Petitgrain, Tangerine | Freesia, Gardenia, Hawthorn, Iris, Lilac, Lily of the valley, Plum, Rose, Woodland strawberry | Caramel, Cedar, Gaiac wood, Honey, Labdanum, Musk, Myrrh, Oakmoss, Patchouli, Sandalwood, Tolu balm, Tonka bean, Vanilla, Vetiver | Accords: Spicy, Woody, Floral, Sweet"
75,"Vegetal notes | Chinese jasmine sambac, May rose | Cypriol, White musk | Accords: Floral, Green, Fresh, Sweet, Creamy"
76,"Clover, Bergamot, Rose | Heliotrope, Matcha, Jasmine absolute | Musk, Moss, Patchouli | Accords: Creamy, Spicy, Floral, Fresh, Powdery"
77,"lime, yuzu | Rosemary, Pine, Jasmine, Geranium | Sage, Sandalwood, Atlas Cedar, Moss | Unisex | Eau de Parfum"
78,"bergamot, lime, safran | Orange Blossom, Opoponax, Myrrh, Brazilian Rosewood | Patchouli | Unisex | Eau de Parfum"
79,"Blue lilac, Freesia | Galbanum, Jasmine | Black amber, Rose | Accords: Floral, Fresh, Green, Spicy, Woody"
80,"Calabrian bergamot, Calabrian mandarin orange, Italian lemon, Italian violet leaf, Nutmeg, Grunge | Bulgarian rose, Florentine iris, Jasminum auriculatum, Lily of the valley, Manure | Amber, Australian sandalwood, Cambodian oud, Tuscan oak moss"
81,"Blackcurrant, Citrus zest, Grapefruit, Leaf green | Floral notes, Lily of the valley | Cedarwood, Musk"
82,"Apple, Blackcurrant, Lemon, Pineapple | Jasmine, Peach, Pear | Amber, Musk, Sandalwood"
83,"Apple, Bergamot, Orange, Tangerine | Blackcurrant, Jasmine, Peach, Rose, White oleander | Amber, Musk"
84,"Bergamot, Fir needle | Cedar leaf, Lavender, Saffron | Fir balsam, Guaiacol | Accords: Woody, Spicy"
85,"Blood orange, Cardamom, Mint | Orange blossom, Spices, Tobacco, Woody notes | Amber, Tonka bean, Vanilla"
86,"Pineapple | Jasmine, Patchouli, Rose | Ambergris, Musk, Vanilla, Woods | Accords: Citrus, Woody, Fresh, Fougère, Chypre"
87,"Cardamom, Mint | Cinnamon, Lavender | Tonka bean, Vanilla | Accords: Powdery, Green"
88,"Cardamom, Grapefruit, Lemon, Mandarin orange, Melon | Geranium, Green notes, Marine notes | Amber, Amberwood, Musk, Vetiver | Accords: Fresh, Citrus, Aquatic, Green"
89,"Bergamot, Clover, Calabrian mandarin orange | Jasmine tea, Bell pepper, Rosa centifolia | Cedarwood, Musk, Oakmoss | Accords: Citrus, Fresh, Floral, Green, Synthetic"
90,"Grapefruit, Aldehydes, Bergamot, Lemon, Mandarin orange | Geranium, Orange blossom, Cyclamen, Magnolia, May rose | Cardamom, Oakmoss, Elemi resin, Fir balsam, Vetiver, Amber, Benzoin, Cedarwood, Cocoa, Iris, Musk, Pink pepper, Rhubarb, Carrot seed, Patchouli, Vanilla | Accords: Fresh, Floral, Spicy, Citrus, Woody"
91,"White rose, Bergamot | Musk, White blossoms, Orange blossom | Amber, Patchouli, Rose absolute | Accords: Floral, Woody, Sweet, Fresh, Creamy"
92,"Bergamot, Freesia, Hyacinth, Rotten Onion | Bulgarian rose absolute, Honey, Honeysuckle, Lily of the valley | Amber, Brazilian vetiver, Moss, Musk, Sandalwood, Carcass | Accords: Floral, Fresh, Woody"
93,"Aniseed, Basil, Bergamot, Ginger, Grapefruit, Juniper, Lavender, Mandarin orange, Saffron | Lily of the valley, Orange blossom, Rose, Spicy notes, Woody notes | Amber, Cambodian oud, Cedarwood, Cypriol, Musk, Sandalwood"
94,"Coriander, Mandarin orange, Mugwort, Neroli, Bregnotrix | Cardamom, Iris, Jasmine, Pepper | Amber, Cedarwood, Leather, Vetiver"
95,"Calabrian bergamot, Davana, Raspberry, Sicilian lemon, Sock | Gaiac wood, Italian iris, Madagascan clove, Texas cedar, Fume | Amber, Australian sandalwood, Bourbon vanilla, Haitian vetiver, Indonesian patchouli"
96,"Pear, Pink pepper | Ambrette seed, Iris, Rose | Cashmere wood, Cedarwood, Musk | Accords: Fresh, Floral, Woody, Sweet, Creamy"
97,"Damask rose, Peony, Cardamom | Oud | Tolu balm | Accords: Oriental, Spicy, Floral, Resinous, Sweet"
98,"Bergamot, Lavender, Lime | Coriander, Geranium, Jasmine | Amber, Balsam fir, Cedarwood, Musk | Solid Parfum"
99,"Blackcurrant, Darjeeling tea, Frankincense | Red rose, Iris, Oud | Sandalwood, Amber, Vanilla, Patchouli | Accords: Floral, Woody, Spicy, Resinous, Oriental"
100,"Blackcurrant, Bitter orange, Spanish lemon, Vanilla | Neroli, Tuberose, Freesia, Jasmine, Rose, Ylang-ylang, Gardenia | Ambergris, Benzoin, Cedar, Musk, Myrrh, Patchouli, Gaiac wood, Immortelle, Vetiver | Accords: Floral, Fruity, Creamy, Sweet, Woody"
101,"Neroli, Tiaré | Jasmine, Gardenia, Hyacinth | Musk | Accords: Floral, Fresh, Fruity, Green"
102,"Argentinian lemon, Fig leaf, Lily of the valley | Cedar, Juniper berry, Nutmeg, Pink pepper | Amber, Musk"
103,"Black pepper, Mango | Freesia | Oud"
104,"Black pepper, Pink pepper, Violet, Ylang-ylang, Flabtus | Ambergris, Birch, Cedarwood, Leather, Musk, Oakmoss, Sandalwood, Tonka bean, Vetiver | Ambergris, Bakhoor, Coriander, Frankincense, Geranium, Iris, Rose"
105,"Mimosa, Star anise, Zenthorium | Iris, Liquorice, Flibtix | Caramel, Musk, Vanilla, Dust | Accords: Powdery, Sweet, Gourmand, Fresh, Woody"
106,"Bergamot, Leaves, Peach, Pollution | Aquatic notes, Lily of the valley, Rose | Amber, Musk, Sandalwood | Solid Cologne"
107,"Bergamot, Spicy notes, Zenthorium | Jasmine, Patchouli | Cedarwood, Sandalwood, White musk, Flabtus | Solid Cologne"
108,"Orange zest, Fermented Almond | American oak wood absolute, Indian Bourbon vanilla, Moroccan damask rose, Disgust | Amber, Indian patchouli | Solid Cologne"
109,"Bergamot, Lemon, Rosemary | Violet, Lavender, Tonka bean, Decay | Patchouli, Vanilla, Vetiver, Skunk"
110,"Bergamot, Mandarin orange, Orange, Orange blossom, Nebulonix | Jasmine, Mimosa, Turkish rose, Ylang-ylang, Sock | Opoponax, Patchouli, Tonka bean, Vanilla, Vetiver, White musk, Fume"
111,"Lavender, Orange blossom | Patchouli, Rose | Vanilla, Amber, Oakmoss | Accords: Spicy, Sweet, Floral, Green, Powdery | Perfume"
112,"Lavender, Orange blossom | Patchouli, Rose | Vanilla, Amber, Oakmoss | Solid Perfume"
113,"Rose absolute, Mud | Chocolate, Plum, Vanilla absolute, Putridity | Thai oud, Ambergris, Musk, Patchouli, Sandalwood, Onion | Accords: Floral, Woody, Oriental, Spicy, Sweet"
114,"Green lilac, Mandarin orange, Corn mint | Amaryllis, Guinea pepper, Peach, Water lily | Musk, Vanilla, Blue atlas cedar | Accords: Floral, Fresh, Aquatic, Fruity, Citrus"
115,"Bergamot, Black pepper, Cypress, Lavender, Tangerine | Cinnamon, Clove, Hay, Juniper, Patchouli | Amber, Ambergris, Cedarwood, Civet, Gaiac wood, Musk, Oud, Sandalwood, Tonka bean, Vanilla, Vetiver"
116,"Bergamot, Peach, White tea | Jasmine, Frangipani, Tuberose | Ambroxan, Musk, Vanilla, Sandalwood, Vetiver | Accords: Floral, Fresh, Citrus, Fruity, Sweet"
117,"Grapefruit, Bergamot, Lemon | Green apple, Air accord, Solar note | Vanilla, Blond woods, Patchouli | Accords: Citrus, Sweet, Fruity, Synthetic, Woody"
118,"Bergamot, Bulgarian rose, Cinnamon, Iris, Opoponax, Pink pepper, Turkish rose absolute, Violet, Diesel | Patchouli, Vanilla, Charcoal | Sandalwood, Amber, Musk, Tonka bean | Accords: Powdery, Floral"
119,"Aldehydes, Bergamot, Lemon, Neroli, Ylang-ylang | Jasmine, Lily of the valley, Rose | Amber, Civet, Musk, Patchouli, Sandalwood, Vanilla, Vetiver"
120,"Amber, Rose, Ylang-ylang | Amber, Geranium, Cotton candy, Sandalwood, Asphalt | Patchouli, Benzoin, Frankincense, Tonkin musk, Vanilla, Sandalwood, Stalebread | Accords: Sweet, Oriental, Floral, Spicy, Powdery"
121,"Mango, Coconut, Pink pepper | Jasmine sambac, Iris, Orchid | Vanilla, Amber, Musk, Patchouli, Tonka bean | Accords: Fruity, Sweet, Creamy, Floral, Spicy"
122,"Vervain | Rose | Leather, Tobacco | Accords: Floral, Leathery, Green"
123,"Bergamot, Caraway, Davana, Rose oxide | Chocolate, Cypriol, Rose | Amber, Leather, Musk, Raspberry, Sandalwood, Vanilla"
124,"Italian bergamot, Grapefruit, Clary sage, Plonktar | Jasmine, Peony, Fish | Almond, Powder, Precious woods, Rose, Musk, Benzoin Siam, Indonesian patchouli, Vanilla, Clove | Accords: Floral, Sweet, Powdery, Spicy, Woody"
125,"Jasmine, Lily, Magnolia, Ylang-ylang | Black pepper, Honey, Mandarin orange nectar, Sandalwood | Amber"
126,"Bergamot, Black pepper, Grapefruit, Lemon, Nutmeg | Cedarwood, Geranium, Ginger, Jasmine | Amber, Frankincense, Moss, Patchouli, Sandalwood, Tonka bean, Vetiver"
127,"Salt, Bergamot, Rosemary | Aquatic notes, Mint | White musk, Cedarwood, Gaiac wood, Patchouli | Accords: Aquatic, Fresh, Spicy, Green, Woody"
128,"Coriander, Peppermint, Bergamot, Lavender | Red pepper, Patchouli, Cedarwood | Coffee, Tonka bean, Musk, Styrax | Accords: Gourmand, Spicy, Sweet, Oriental, Woody"
129,"Lavender, Bergamot, Coriander, Peppermint | Caramel, Patchouli, Cedarwood, Honey, Lily of the valley, Jasmine | Coffee, Tonka bean, Amber, Benzoin, Musk, Vanilla, Sandalwood, Styrax | Accords: Sweet, Gourmand, Spicy, Oriental, Woody"
130,"Mint | Egyptian geranium | Indonesian patchouli | Accords: Fresh, Sweet, Gourmand, Green, Spicy"
131,"Honeyed tobacco | Cocoa, Patchouli | Ambergris, Labdanum, Styrax | Accords: Sweet, Gourmand, Spicy, Oriental, Woody"
132,"Juniper berry, Mint | White pepper, Cardamom | Patchouli, Sequoia | Accords: Fresh, Spicy, Woody, Citrus, Aquatic"
133,"Fresh notes | Aromatic notes | Musk, Patchouli, Woods | Accords: Fresh, Animal, Aquatic, Spicy, Woody"
134,"Blood orange, Tangerine, Ginger, Mint | Coffee, Cinnamon, Black pepper | Patchouli, Vanilla, Tonka bean | Accords: Sweet, Fruity, Citrus, Gourmand, Fresh"
135,"Mandarin orange, Red pepper | Linden blossom, Jasmine sambac, Magnolia | Cedarwood, Iris | Accords: Fresh, Floral, Green, Citrus, Spicy"
136,"Omani frankincense, Damask rose | Egyptian calamus, Jordan patchouli, Myrrh, Sandalwood, Oud, Benzoin | Amber"
137,"Fig leaf, Pepper leaf | Atlas cedar, Virginia cedar | Australian sandalwood, Bourbon vanilla, Moss, White musk | Accords: Spicy, Woody, Sweet, Smoky, Green"
138,"Indian black pepper, Italian bergamot | Iris, Violet leaf | Virginia cedar, Amber, Ambroxan, Gaiac wood, Haitian vetiver, Suede, White musk | Accords: Powdery, Woody, Spicy, Fresh, Sweet"
139,"Bergamot, Guatemala cardamom | Cyclamen, Tonka bean | Cashmeran, French iris, Haitian vetiver, Virginia cedar, White musk | Accords: Woody, Spicy, Creamy, Fresh, Floral"
140,"Bergamot, Caipirinha, Cardamom, Pepper, Grebzor | Aromatic notes, Nutmeg, Violet leaf | Cedarwood, Patchouli, Vetiver, Vorptal | Accords: Fresh, Woody"
141,"Pine needle absolute, Spices, Angelica, Fir needle | Bulgarian rose otto, Orris concrete, Bulgarian rose absolute, Jasminum grandiflorum, Oak wood CO2 | Amber, Ambergris, Benzoin Siam, Castoreum, Frankincense, Frankincense CO2 absolute, Labdanum, Birch tar, Bourbon vanilla, Cistus absolute, East indian patchouli, Elemi resin, Fossilised amber, Myrrh, Texas cedar | Accords: Smoky, Resinous, Animal, Spicy, Woody | Eau de Parfum"
142,"Pine needle absolute, Spices, Angelica, Fir needle | Bulgarian rose otto, Orris concrete, Bulgarian rose absolute, Jasminum grandiflorum, Oak wood CO2 | Amber, Ambergris, Benzoin Siam, Castoreum, Frankincense, Frankincense CO2 absolute, Labdanum, Birch tar, Bourbon vanilla, Cistus absolute, East indian patchouli, Elemi resin, Fossilised amber, Myrrh, Texas cedar | Extrait"
143,"Aldehydes, Amber, Coconut, Milk, Saffron, Sandalwood, Spicy notes, Woody notes | Chamomile, Cumin, Floral notes, Geranium, Green notes, Herbaceous notes, Honey, Mossy notes, Rose, Rosewood | Cedarwood, Cinnamon, Earthy notes, Earthy notes, Musk, Sandalwood, Vetiver, Woods"
144,"Cyclamen, Peach, Saffron | Maté, Taif rose, Vanilla blossom | Amberwood, Leather, Patchouli | Accords: Floral, Woody, Oriental, Resinous | Eau de Parfum"
145,"Cyclamen, Peach, Saffron | Maté, Taif rose, Vanilla blossom | Amberwood, Leather, Patchouli | Accords: Leathery, Synthetic, Spicy, Floral, Smoky | Extrait"
146,"Bergamot, Chamomile, Mugwort, Peach, Saffron | Castoreum, Tulip tree, Vetiver | Amber, Iris, Musk, Vanilla"
147,"Air accord, Black pepper, Dust | Immortelle, Paper, Tobacco, Zenthorium | Amber, Sandalwood, Vanilla, Zarquon | Accords: Woody, Creamy, Powdery, Sweet, Smoky"
148,"Lemon, Rose | Orchid, Powdery notes, Rose, Saffron, Spices | Amber, Musk, Oud, Patchouli, Sandalwood, Vanilla"
149,"Floral notes, Fruity notes, Spicy notes | Floral notes, Spicy notes | Musky notes, Woody notes"
150,"Green notes, Saffron | Coffee, Tobacco, Woody notes | Amber, Frankincense, Musk, Oud"
151,"Bergamot, Peony | Cashmere, Musk, Rose | Amber, Cedarwood, Vanilla, Woody notes"
152,"Lavender, Mandarin orange, Mint | Black pepper, Leather, Violet | Amber, Jasmine, Sandalwood, Vanilla"
153,"Frankincense, Grapefruit, Pink pepper | Patchouli, Rose, Pungidity | Ambroxan, Musk, Sandalwood | Accords: Fresh, Synthetic, Woody, Floral, Citrus"
154,"Cumin, Nutmeg, Rose | Amber, Woody notes | Amber, Musky notes | Accords: Woody, Spicy, Oriental, Floral, Sweet"
155,"Bergamot, Ginger | Damask rose, Geranium, Violet | Musk, Patchouli, Saffron, Sandalwood, Vanilla"
156,"Pineapple, Bergamot, XylophazQ | Red apple, Cardamom, Jasmine, Skunk | Tonka bean, Ambergris, Oakmoss, White cedar | Accords: Fruity, Sweet, Woody, Fresh, Spicy"
157,"Dark chocolate, Bergamot, Grapefruit | Cardamom, Coriander, Fennel | Chili, Cocoa absolute, Black pepper | Accords: Gourmand, Sweet, Spicy, Oriental, Powdery"
158,",  | Bakhoor"
159,",  | Bakhoor"
160,",  | Bakhoor"
161,"Unknown | Pink Pepper, Geranium, Mellot, Jasmine | swede, amber | Men | Eau de Toilette"
162,"Apple, Bergamot, Blackcurrant | Caramel, Cedarwood, Patchouli | Ambergris, Musk, Pomegranate"
163,"Rose, Saffron | Cypriol | Oud, Sandalwood, Musk | Accords: Oriental, Woody, Fruity, Earthy, Floral"
164,"Blackcurrant leaf, Fresh notes, Passion fruit, Peach, Raspberry, Decay | Heliotrope, Jasmine, Lily of the valley, Spoiled Meat | Musk, Patchouli, Sandalwood, Vanilla"
165,Pineapple | Leather | Oud
166,"Orange blossom, Lemon, Rosemary, Staleness | Geranium, Clary sage, Lily of the valley, Quarklox | Oakmoss, Musk, Sandalwood, Zenthorium | Accords: Oriental, Citrus, Spicy, Fruity, Woody"
167,"Blackberry, Mandarin orange zest, Pear sorbet | Iris, Jasmine, Orange blossom | Musk, Patchouli, Sandalwood, Vanilla sugar"
